id,week,gym_uk
1,23-09-12,39
2,30-09-12,39
3,07-10-12,38
4,14-10-12,37
5,21-10-12,36
6,28-10-12,34
7,04-11-12,36
8,11-11-12,36
9,18-11-12,34
10,25-11-12,34
11,02-12-12,32
12,09-12-12,30
13,16-12-12,31
14,23-12-12,38
15,30-12-12,55
16,06-01-13,56
17,13-01-13,48
18,20-01-13,47
19,27-01-13,51
20,03-02-13,48
21,10-02-13,43
22,17-02-13,45
23,24-02-13,44
24,03-03-13,44
25,10-03-13,43
26,17-03-13,45
27,24-03-13,48
28,31-03-13,47
29,07-04-13,45
30,14-04-13,45
31,21-04-13,44
32,28-04-13,43
33,05-05-13,42
34,12-05-13,41
35,19-05-13,41
36,26-05-13,45
37,02-06-13,44
38,09-06-13,42
39,16-06-13,43
40,23-06-13,43
41,30-06-13,43
42,07-07-13,40
43,14-07-13,40
44,21-07-13,43
45,28-07-13,46
46,04-08-13,45
47,11-08-13,45
48,18-08-13,44
49,25-08-13,45
50,01-09-13,47
51,08-09-13,46
52,15-09-13,45
53,22-09-13,45
54,29-09-13,46
55,06-10-13,45
56,13-10-13,44
57,20-10-13,45
58,27-10-13,42
59,03-11-13,42
60,10-11-13,42
61,17-11-13,40
62,24-11-13,38
63,01-12-13,37
64,08-12-13,37
65,15-12-13,35
66,22-12-13,44
67,29-12-13,63
68,05-01-14,67
69,12-01-14,63
70,19-01-14,58
71,26-01-14,57
72,02-02-14,56
73,09-02-14,51
74,16-02-14,54
75,23-02-14,54
76,02-03-14,51
77,09-03-14,51
78,16-03-14,50
79,23-03-14,49
80,30-03-14,50
81,06-04-14,49
82,13-04-14,51
83,20-04-14,52
84,27-04-14,50
85,04-05-14,51
86,11-05-14,49
87,18-05-14,48
88,25-05-14,50
89,01-06-14,49
90,08-06-14,47
91,15-06-14,44
92,22-06-14,47
93,29-06-14,48
94,06-07-14,47
95,13-07-14,46
96,20-07-14,47
97,27-07-14,50
98,03-08-14,50
99,10-08-14,48
100,17-08-14,46
101,24-08-14,48
102,31-08-14,50
103,07-09-14,49
104,14-09-14,49
105,21-09-14,49
106,28-09-14,50
107,05-10-14,47
108,12-10-14,48
109,19-10-14,47
110,26-10-14,46
111,02-11-14,45
112,09-11-14,45
113,16-11-14,44
114,23-11-14,41
115,30-11-14,41
116,07-12-14,38
117,14-12-14,39
118,21-12-14,45
119,28-12-14,69
120,04-01-15,76
121,11-01-15,67
122,18-01-15,64
123,25-01-15,61
124,01-02-15,59
125,08-02-15,54
126,15-02-15,55
127,22-02-15,55
128,01-03-15,55
129,08-03-15,53
130,15-03-15,53
131,22-03-15,52
132,29-03-15,59
133,05-04-15,56
134,12-04-15,55
135,19-04-15,55
136,26-04-15,54
137,03-05-15,54
138,10-05-15,54
139,17-05-15,52
140,24-05-15,57
141,31-05-15,55
142,07-06-15,53
143,14-06-15,53
144,21-06-15,52
145,28-06-15,51
146,05-07-15,51
147,12-07-15,53
148,19-07-15,56
149,26-07-15,56
150,02-08-15,55
151,09-08-15,53
152,16-08-15,53
153,23-08-15,53
154,30-08-15,57
155,06-09-15,57
156,13-09-15,56
157,20-09-15,54
158,27-09-15,56
159,04-10-15,55
160,11-10-15,54
161,18-10-15,53
162,25-10-15,52
163,01-11-15,53
164,08-11-15,51
165,15-11-15,49
166,22-11-15,48
167,29-11-15,49
168,06-12-15,46
169,13-12-15,46
170,20-12-15,51
171,27-12-15,78
172,03-01-16,88
173,10-01-16,75
174,17-01-16,70
175,24-01-16,67
176,31-01-16,67
177,07-02-16,62
178,14-02-16,61
179,21-02-16,60
180,28-02-16,61
181,06-03-16,61
182,13-03-16,60
183,20-03-16,65
184,27-03-16,69
185,03-04-16,65
186,10-04-16,65
187,17-04-16,60
188,24-04-16,61
189,01-05-16,62
190,08-05-16,60
191,15-05-16,61
192,22-05-16,60
193,29-05-16,64
194,05-06-16,59
195,12-06-16,56
196,19-06-16,54
197,26-06-16,56
198,03-07-16,61
199,10-07-16,68
200,17-07-16,71
201,24-07-16,72
202,31-07-16,71
203,07-08-16,66
204,14-08-16,61
205,21-08-16,64
206,28-08-16,68
207,04-09-16,69
208,11-09-16,66
209,18-09-16,64
210,25-09-16,65
211,02-10-16,63
212,09-10-16,61
213,16-10-16,60
214,23-10-16,58
215,30-10-16,58
216,06-11-16,56
217,13-11-16,58
218,20-11-16,56
219,27-11-16,55
220,04-12-16,52
221,11-12-16,51
222,18-12-16,53
223,25-12-16,74
224,01-01-17,100
225,08-01-17,91
226,15-01-17,87
227,22-01-17,81
228,29-01-17,82
229,05-02-17,77
230,12-02-17,72
231,19-02-17,75
232,26-02-17,72
233,05-03-17,73
234,12-03-17,71
235,19-03-17,68
236,26-03-17,70
237,02-04-17,69
238,09-04-17,72
239,16-04-17,72
240,23-04-17,67
241,30-04-17,72
242,07-05-17,69
243,14-05-17,67
244,21-05-17,61
245,28-05-17,68
246,04-06-17,62
247,11-06-17,66
248,18-06-17,66
249,25-06-17,70
250,02-07-17,70
251,09-07-17,67
252,16-07-17,66
253,23-07-17,69
254,30-07-17,71
255,06-08-17,66
256,13-08-17,65
257,20-08-17,63
258,27-08-17,69
259,03-09-17,71
260,10-09-17,67
261,17-09-17,74
