id,year,quarter,users_millions,quarter_n,days_n
1,2010,q1,130,1,
2,2010,q2,137,2,
3,2010,q3,144,3,
4,2010,q4,154,4,
5,2011,q1,163,1,
6,2011,q2,169,2,
7,2011,q3,176,3,
8,2011,q4,179,4,
9,2012,q1,183,1,
10,2012,q2,186,2,
11,2012,q3,189,3,
12,2012,q4,193,4,
13,2013,q1,195,1,
14,2013,q2,198,2,
15,2013,q3,199,3,
16,2013,q4,201,4,
17,2014,q1,202,1,
18,2014,q2,204,2,
19,2014,q3,206,3,
20,2014,q4,208,4,
21,2015,q1,210,1,
22,2015,q2,213,2,
23,2015,q3,217,3,
24,2015,q4,219,4,
25,2016,q1,222,1,
26,2016,q2,226,2,
27,2016,q3,229,3,
28,2016,q4,231,4,
29,2017,q1,234,1,
30,2017,q2,236,2,
