id,Year,Month,Value
1,2013,1,87.5
2,2013,2,90.1
3,2013,3,93.6
4,2013,4,92.6
5,2013,5,96.9
6,2013,6,98.2
7,2013,7,99.4
8,2013,8,95.7
9,2013,9,97.4
10,2013,10,100.6
11,2013,11,110.2
12,2013,12,132.2
13,2014,1,92
14,2014,2,93.8
15,2014,3,96.7
16,2014,4,101
17,2014,5,100.9
18,2014,6,102.3
19,2014,7,102.3
20,2014,8,99.5
21,2014,9,99.1
22,2014,10,104.9
23,2014,11,117
24,2014,12,134.7
25,2015,1,94.9
26,2015,2,95.9
27,2015,3,100.7
28,2015,4,100.8
29,2015,5,103.2
30,2015,6,104
31,2015,7,104.3
32,2015,8,100.2
33,2015,9,102.4
34,2015,10,105.9
35,2015,11,118.7
36,2015,12,133.2
37,2016,1,97.2
38,2016,2,97.5
39,2016,3,100.9
40,2016,4,102.6
41,2016,5,106.1
42,2016,6,104.9
43,2016,7,108
44,2016,8,104.3
45,2016,9,105.2
46,2016,10,112.4
47,2016,11,125.6
48,2016,12,142.3
