"","x","y"
"1","2010 q1",130
"2","2010 q2",137
"3","2010 q3",144
"4","2010 q4",154
"5","2011 q1",163
"6","2011 q2",169
"7","2011 q3",176
"8","2011 q4",179
"9","2012 q1",183
"10","2012 q2",186
"11","2012 q3",189
"12","2012 q4",193
"13","2013 q1",195
"14","2013 q2",198
"15","2013 q3",199
"16","2013 q4",201
"17","2014 q1",202
"18","2014 q2",204
"19","2014 q3",206
"20","2014 q4",208
"21","2015 q1",210
"22","2015 q2",213
"23","2015 q3",217
"24","2015 q4",219
"25","2016 q1",222
"26","2016 q2",226
"27","2016 q3",229
"28","2016 q4",231
"29","2017 q1",234
"30","2017 q2",236
