id,year,month,added,Trimester_n,Trimester
1,2007,10,23,4,2007-4
2,2007,11,18,4,2007-4
3,2007,12,17,4,2007-4
4,2008,1,2,1,2008-1
5,2008,2,3,1,2008-1
6,2008,3,9,1,2008-1
7,2008,4,31,2,2008-2
8,2008,5,15,2,2008-2
9,2008,6,8,2,2008-2
10,2008,7,8,3,2008-3
11,2008,8,7,3,2008-3
12,2008,9,2,3,2008-3
13,2008,10,6,4,2008-4
14,2008,11,0,4,2008-4
15,2008,12,2,4,2008-4
16,2009,1,3,1,2009-1
17,2009,2,1,1,2009-1
18,2009,3,3,1,2009-1
19,2009,4,1,2,2009-2
20,2009,5,9,2,2009-2
21,2009,6,8,2,2009-2
22,2009,7,9,3,2009-3
23,2009,8,4,3,2009-3
24,2009,9,23,3,2009-3
25,2009,10,8,4,2009-4
26,2009,11,5,4,2009-4
27,2009,12,15,4,2009-4
28,2010,1,3,1,2010-1
29,2010,2,2,1,2010-1
30,2010,3,3,1,2010-1
31,2010,4,9,2,2010-2
32,2010,5,13,2,2010-2
33,2010,6,5,2,2010-2
34,2010,7,3,3,2010-3
35,2010,8,4,3,2010-3
36,2010,9,0,3,2010-3
37,2010,10,2,4,2010-4
38,2010,11,4,4,2010-4
39,2010,12,5,4,2010-4
40,2011,1,37,1,2011-1
41,2011,2,16,1,2011-1
42,2011,3,26,1,2011-1
43,2011,4,7,2,2011-2
44,2011,5,13,2,2011-2
45,2011,6,2,2,2011-2
46,2011,7,0,3,2011-3
47,2011,8,2,3,2011-3
48,2011,9,4,3,2011-3
49,2011,10,1,4,2011-4
50,2011,11,0,4,2011-4
51,2011,12,8,4,2011-4
52,2012,1,21,1,2012-1
53,2012,2,9,1,2012-1
54,2012,3,2,1,2012-1
55,2012,4,3,2,2012-2
56,2012,5,2,2,2012-2
57,2012,6,1,2,2012-2
58,2012,7,3,3,2012-3
59,2012,8,4,3,2012-3
60,2012,9,4,3,2012-3
61,2012,10,2,4,2012-4
62,2012,11,2,4,2012-4
63,2012,12,4,4,2012-4
64,2013,1,1,1,2013-1
65,2013,2,2,1,2013-1
66,2013,3,6,1,2013-1
67,2013,4,4,2,2013-2
68,2013,5,1,2,2013-2
69,2013,6,6,2,2013-2
70,2013,7,0,3,2013-3
71,2013,8,1,3,2013-3
72,2013,9,0,3,2013-3
73,2013,10,0,4,2013-4
74,2013,11,2,4,2013-4
75,2013,12,7,4,2013-4
76,2014,1,5,1,2014-1
77,2014,2,0,1,2014-1
78,2014,3,9,1,2014-1
79,2014,4,1,2,2014-2
80,2014,5,0,2,2014-2
81,2014,6,3,2,2014-2
82,2014,7,2,3,2014-3
83,2014,8,4,3,2014-3
84,2014,9,3,3,2014-3
85,2014,10,0,4,2014-4
86,2014,11,1,4,2014-4
87,2014,12,3,4,2014-4
88,2015,1,0,1,2015-1
89,2015,2,6,1,2015-1
90,2015,3,0,1,2015-1
91,2015,4,1,2,2015-2
92,2015,5,0,2,2015-2
93,2015,6,1,2,2015-2
94,2015,7,1,3,2015-3
95,2015,8,4,3,2015-3
96,2015,9,6,3,2015-3
97,2015,10,4,4,2015-4
98,2015,11,1,4,2015-4
99,2015,12,5,4,2015-4
100,2016,1,0,1,2016-1
101,2016,2,2,1,2016-1
102,2016,3,7,1,2016-1
103,2016,4,3,2,2016-2
104,2016,5,4,2,2016-2
105,2016,6,12,2,2016-2
106,2016,7,27,3,2016-3
107,2016,8,15,3,2016-3
108,2016,9,38,3,2016-3
109,2016,10,10,4,2016-4
110,2016,11,9,4,2016-4
111,2016,12,3,4,2016-4
112,2017,1,0,1,2017-1
113,2017,2,5,1,2017-1
114,2017,3,3,1,2017-1
115,2017,4,3,2,2017-2
116,2017,5,2,2,2017-2
117,2017,6,4,2,2017-2
118,2017,7,3,3,2017-3
119,2017,8,2,3,2017-3
120,2017,9,4,3,2017-3
121,2017,10,1,4,2017-4
122,2017,11,0,4,2017-4
123,2017,12,0,4,2017-4
