"","x","y"
"1","2013 01",50.5
"2","2013 02",45
"3","2013 03",45.4
"4","2013 04",44.25
"5","2013 05",42.25
"6","2013 06",43
"7","2013 07",42.25
"8","2013 08",44.75
"9","2013 09",45.8
"10","2013 10",44
"11","2013 11",40.5
"12","2013 12",43.2
"13","2014 01",61.25
"14","2014 02",53.75
"15","2014 03",50.2
"16","2014 04",50.5
"17","2014 05",49.5
"18","2014 06",47
"19","2014 07",47.5
"20","2014 08",48.4
"21","2014 09",49.25
"22","2014 10",47
"23","2014 11",43.2
"24","2014 12",47.75
"25","2015 01",67
"26","2015 02",55.75
"27","2015 03",54.4
"28","2015 04",55
"29","2015 05",54.4
"30","2015 06",52.25
"31","2015 07",54
"32","2015 08",54.2
"33","2015 09",55.75
"34","2015 10",53.5
"35","2015 11",50
"36","2015 12",55.25
"37","2016 01",73.4
"38","2016 02",61
"39","2016 03",63.75
"40","2016 04",62.75
"41","2016 05",61.4
"42","2016 06",56.25
"43","2016 07",68.6
"44","2016 08",64.75
"45","2016 09",66
"46","2016 10",60
"47","2016 11",56.25
"48","2016 12",57.5
