"","x","y"
"1","2013 01",61.2903225806452
"2","2013 02",53.5714285714286
"3","2013 03",48.3870967741936
"4","2013 04",63.3333333333333
"5","2013 05",58.0645161290323
"6","2013 06",50
"7","2013 07",35.4838709677419
"8","2013 08",48.3870967741936
"9","2013 09",60
"10","2013 10",80.6451612903226
"11","2013 11",83.3333333333333
"12","2013 12",67.741935483871
"13","2014 01",96.7741935483871
"14","2014 02",85.7142857142857
"15","2014 03",54.8387096774194
"16","2014 04",53.3333333333333
"17","2014 05",61.2903225806452
"18","2014 06",53.3333333333333
"19","2014 07",45.1612903225806
"20","2014 08",74.1935483870968
"21","2014 09",30
"22","2014 10",67.741935483871
"23","2014 11",86.6666666666667
"24","2014 12",74.1935483870968
"25","2015 01",80.6451612903226
"26","2015 02",64.2857142857143
"27","2015 03",54.8387096774194
"28","2015 04",53.3333333333333
"29","2015 05",70.9677419354839
"30","2015 06",46.6666666666667
"31","2015 07",83.8709677419355
"32","2015 08",70.9677419354839
"33","2015 09",60
"34","2015 10",51.6129032258064
"35","2015 11",90
"36","2015 12",96.7741935483871
"37","2016 01",80.6451612903226
"38","2016 02",68.9655172413793
"39","2016 03",64.5161290322581
"40","2016 04",80
"41","2016 05",54.8387096774194
"42","2016 06",76.6666666666667
"43","2016 07",64.5161290322581
"44","2016 08",51.6129032258064
"45","2016 09",60
"46","2016 10",67.741935483871
"47","2016 11",66.6666666666667
"48","2016 12",45.1612903225806
