"","x","y"
"1","2013 01",6.25806451612903
"2","2013 02",6.25
"3","2013 03",6.70967741935484
"4","2013 04",13.0333333333333
"5","2013 05",16.0645161290323
"6","2013 06",20
"7","2013 07",26.5161290322581
"8","2013 08",23.9354838709677
"9","2013 09",19.3
"10","2013 10",16.8064516129032
"11","2013 11",10.2333333333333
"12","2013 12",9.67741935483871
"13","2014 01",9.67741935483871
"14","2014 02",10.25
"15","2014 03",13.9677419354839
"16","2014 04",15.8333333333333
"17","2014 05",17.6129032258065
"18","2014 06",21.7333333333333
"19","2014 07",25.4838709677419
"20","2014 08",21.5161290322581
"21","2014 09",21.1666666666667
"22","2014 10",17.1935483870968
"23","2014 11",12.1
"24","2014 12",9
"25","2015 01",8.29032258064516
"26","2015 02",7.60714285714286
"27","2015 03",11.3548387096774
"28","2015 04",16.0666666666667
"29","2015 05",17.2258064516129
"30","2015 06",21.9
"31","2015 07",23.3870967741935
"32","2015 08",21.9677419354839
"33","2015 09",18.2333333333333
"34","2015 10",15.6129032258065
"35","2015 11",13.0333333333333
"36","2015 12",13.1612903225806
"37","2016 01",9.09677419354839
"38","2016 02",9.03448275862069
"39","2016 03",10.5806451612903
"40","2016 04",13.2666666666667
"41","2016 05",18.7096774193548
"42","2016 06",20.3666666666667
"43","2016 07",23.6129032258065
"44","2016 08",24.4838709677419
"45","2016 09",22.2
"46","2016 10",15.5806451612903
"47","2016 11",10.3
"48","2016 12",9.83870967741935
