id,x,y,year,month,day,date,n_day,
1,2013 q1,195,2013,1,1,01-01-13,0,
2,2013 q2,198,2013,4,1,01-04-13,90,
3,2013 q3,199,2013,7,1,01-07-13,181,
4,2013 q4,201,2013,10,1,01-10-13,273,
5,2014 q1,202,2014,1,1,01-01-14,365,
6,2014 q2,204,2014,4,1,01-04-14,455,
7,2014 q3,206,2014,7,1,01-07-14,546,
8,2014 q4,208,2014,10,1,01-10-14,638,
9,2015 q1,210,2015,1,1,01-01-15,730,
10,2015 q2,213,2015,4,1,01-04-15,820,
11,2015 q3,217,2015,7,1,01-07-15,911,
12,2015 q4,219,2015,10,1,01-10-15,1003,
13,2016 q1,222,2016,1,1,01-01-16,1095,
14,2016 q2,226,2016,4,1,01-04-16,1186,
15,2016 q3,229,2016,7,1,01-07-16,1277,
16,2016 q4,231,2016,10,1,01-10-16,1369,
