"Trimester","added_trimester","accum"
"1","2007-4",58,58
"2","2008-1",14,72
"3","2008-2",54,126
"4","2008-3",17,143
"5","2008-4",8,151
"6","2009-1",7,158
"7","2009-2",18,176
"8","2009-3",36,212
"9","2009-4",28,240
"10","2010-1",8,248
"11","2010-2",27,275
"12","2010-3",7,282
"13","2010-4",11,293
"14","2011-1",79,372
"15","2011-2",22,394
"16","2011-3",6,400
"17","2011-4",9,409
"18","2012-1",32,441
"19","2012-2",6,447
"20","2012-3",11,458
"21","2012-4",8,466
"22","2013-1",9,475
"23","2013-2",11,486
"24","2013-3",1,487
"25","2013-4",9,496
"26","2014-1",14,510
"27","2014-2",4,514
"28","2014-3",9,523
"29","2014-4",4,527
"30","2015-1",6,533
"31","2015-2",2,535
"32","2015-3",11,546
"33","2015-4",10,556
"34","2016-1",9,565
"35","2016-2",19,584
"36","2016-3",80,664
"37","2016-4",22,686
"38","2017-1",8,694
"39","2017-2",9,703
"40","2017-3",9,712
"41","2017-4",1,713
