id,x,y,year,month,day,date,n_day
1,2013-4,496,2013,10,1,01-10-13,0
2,2014-1,510,2014,1,1,01-01-14,92
3,2014-2,514,2014,3,1,01-03-14,151
4,2014-3,523,2014,7,1,01-07-14,273
5,2014-4,527,2014,10,1,01-10-14,365
6,2015-1,533,2015,1,1,01-01-15,457
7,2015-2,535,2015,3,1,01-03-15,516
8,2015-3,546,2015,7,1,01-07-15,638
9,2015-4,556,2015,10,1,01-10-15,730
10,2016-1,565,2016,1,1,01-01-16,822
11,2016-2,584,2016,3,1,01-03-16,882
12,2016-3,664,2016,7,1,01-07-16,1004
13,2016-4,686,2016,10,1,01-10-16,1096
14,2017-1,694,2017,1,1,01-01-17,1188
15,2017-2,703,2017,3,1,01-03-17,1247
16,2017-3,712,2017,7,1,01-07-17,1369
17,2017-3,713,2017,10,1,01-10-17,1461
