id,x,y,year,month,day,date,n_day
1,2007-4,58,2007,10,1,01-10-07,0
2,2008-1,72,2008,1,1,01-01-08,92
3,2008-2,126,2008,3,1,01-03-08,152
4,2008-3,143,2008,7,1,01-07-08,274
5,2008-4,151,2008,10,1,01-10-08,366
6,2009-1,158,2009,1,1,01-01-09,458
7,2009-2,176,2009,3,1,01-03-09,517
8,2009-3,212,2009,7,1,01-07-09,639
9,2009-4,240,2009,10,1,01-10-09,731
10,2010-1,248,2010,1,1,01-01-10,823
11,2010-2,275,2010,3,1,01-03-10,882
12,2010-3,282,2010,7,1,01-07-10,1004
13,2010-4,293,2010,10,1,01-10-10,1096
14,2011-1,372,2011,1,1,01-01-11,1188
15,2011-2,394,2011,3,1,01-03-11,1247
16,2011-3,400,2011,7,1,01-07-11,1369
17,2011-4,409,2011,10,1,01-10-11,1461
