id,x,y,year,month,day,date,n_day
1,2013 01,50.5,2013,01,1,01-01-13,0
2,2013 02,45,2013,02,1,01-02-13,31
3,2013 03,45.4,2013,03,1,01-03-13,59
4,2013 04,44.25,2013,04,1,01-04-13,90
5,2013 05,42.25,2013,05,1,01-05-13,120
6,2013 06,43,2013,06,1,01-06-13,151
7,2013 07,42.25,2013,07,1,01-07-13,181
8,2013 08,44.75,2013,08,1,01-08-13,212
9,2013 09,45.8,2013,09,1,01-09-13,243
10,2013 10,44,2013,10,1,01-10-13,273
11,2013 11,40.5,2013,11,1,01-11-13,304
12,2013 12,43.2,2013,12,1,01-12-13,334
13,2014 01,61.25,2014,01,1,01-01-14,365
14,2014 02,53.75,2014,02,1,01-02-14,396
15,2014 03,50.2,2014,03,1,01-03-14,424
16,2014 04,50.5,2014,04,1,01-04-14,455
17,2014 05,49.5,2014,05,1,01-05-14,485
18,2014 06,47,2014,06,1,01-06-14,516
19,2014 07,47.5,2014,07,1,01-07-14,546
20,2014 08,48.4,2014,08,1,01-08-14,577
21,2014 09,49.25,2014,09,1,01-09-14,608
22,2014 10,47,2014,10,1,01-10-14,638
23,2014 11,43.2,2014,11,1,01-11-14,669
24,2014 12,47.75,2014,12,1,01-12-14,699
25,2015 01,67,2015,01,1,01-01-15,730
26,2015 02,55.75,2015,02,1,01-02-15,761
27,2015 03,54.4,2015,03,1,01-03-15,789
28,2015 04,55,2015,04,1,01-04-15,820
29,2015 05,54.4,2015,05,1,01-05-15,850
30,2015 06,52.25,2015,06,1,01-06-15,881
31,2015 07,54,2015,07,2,02-07-15,912
32,2015 08,54.2,2015,08,3,03-08-15,944
33,2015 09,55.75,2015,09,4,04-09-15,976
34,2015 10,53.5,2015,10,5,05-10-15,1007
35,2015 11,50,2015,11,6,06-11-15,1039
36,2015 12,55.25,2015,12,7,07-12-15,1070
37,2016 01,73.4,2016,01,8,08-01-16,1102
38,2016 02,61,2016,02,9,09-02-16,1134
39,2016 03,63.75,2016,03,10,10-03-16,1164
40,2016 04,62.75,2016,04,11,11-04-16,1196
41,2016 05,61.4,2016,05,12,12-05-16,1227
42,2016 06,56.25,2016,06,13,13-06-16,1259
43,2016 07,68.6,2016,07,14,14-07-16,1290
44,2016 08,64.75,2016,08,15,15-08-16,1322
45,2016 09,66,2016,09,16,16-09-16,1354
46,2016 10,60,2016,10,17,17-10-16,1385
47,2016 11,56.25,2016,11,18,18-11-16,1417
48,2016 12,57.5,2016,12,19,19-12-16,1448
