id,x,y,year,month,day,date,n_day
1,2013 01,6.258064516,2013,01,1,01-01-13,0
2,2013 02,6.25,2013,02,1,01-02-13,31
3,2013 03,6.709677419,2013,03,1,01-03-13,59
4,2013 04,13.03333333,2013,04,1,01-04-13,90
5,2013 05,16.06451613,2013,05,1,01-05-13,120
6,2013 06,20,2013,06,1,01-06-13,151
7,2013 07,26.51612903,2013,07,1,01-07-13,181
8,2013 08,23.93548387,2013,08,1,01-08-13,212
9,2013 09,19.3,2013,09,1,01-09-13,243
10,2013 10,16.80645161,2013,10,1,01-10-13,273
11,2013 11,10.23333333,2013,11,1,01-11-13,304
12,2013 12,9.677419355,2013,12,1,01-12-13,334
13,2014 01,9.677419355,2014,01,1,01-01-14,365
14,2014 02,10.25,2014,02,1,01-02-14,396
15,2014 03,13.96774194,2014,03,1,01-03-14,424
16,2014 04,15.83333333,2014,04,1,01-04-14,455
17,2014 05,17.61290323,2014,05,1,01-05-14,485
18,2014 06,21.73333333,2014,06,1,01-06-14,516
19,2014 07,25.48387097,2014,07,1,01-07-14,546
20,2014 08,21.51612903,2014,08,1,01-08-14,577
21,2014 09,21.16666667,2014,09,1,01-09-14,608
22,2014 10,17.19354839,2014,10,1,01-10-14,638
23,2014 11,12.1,2014,11,1,01-11-14,669
24,2014 12,9,2014,12,1,01-12-14,699
25,2015 01,8.290322581,2015,01,1,01-01-15,730
26,2015 02,7.607142857,2015,02,1,01-02-15,761
27,2015 03,11.35483871,2015,03,1,01-03-15,789
28,2015 04,16.06666667,2015,04,1,01-04-15,820
29,2015 05,17.22580645,2015,05,1,01-05-15,850
30,2015 06,21.9,2015,06,1,01-06-15,881
31,2015 07,23.38709677,2015,07,1,01-07-15,911
32,2015 08,21.96774194,2015,08,1,01-08-15,942
33,2015 09,18.23333333,2015,09,1,01-09-15,973
34,2015 10,15.61290323,2015,10,1,01-10-15,1003
35,2015 11,13.03333333,2015,11,1,01-11-15,1034
36,2015 12,13.16129032,2015,12,1,01-12-15,1064
37,2016 01,9.096774194,2016,01,1,01-01-16,1095
38,2016 02,9.034482759,2016,02,1,01-02-16,1126
39,2016 03,10.58064516,2016,03,1,01-03-16,1155
40,2016 04,13.26666667,2016,04,1,01-04-16,1186
41,2016 05,18.70967742,2016,05,1,01-05-16,1216
42,2016 06,20.36666667,2016,06,1,01-06-16,1247
43,2016 07,23.61290323,2016,07,1,01-07-16,1277
44,2016 08,24.48387097,2016,08,1,01-08-16,1308
45,2016 09,22.2,2016,09,1,01-09-16,1339
46,2016 10,15.58064516,2016,10,1,01-10-16,1369
47,2016 11,10.3,2016,11,1,01-11-16,1400
48,2016 12,9.838709677,2016,12,1,01-12-16,1430
