day_n,year,month,day,temp_high,temp_avg,temp_low,Dew point high,Dew point avg,Dew point low,Humidity high,Humidity avg,Humidity low,Sea Level Pressure high,Sea Level Pressure avg,Sea Level Pressure low,Visibility high,Visibility avg,Visibility low,Wind high,Wind avg,Wind low,precipitation_sum_mm,Events
1,2013,1,1,8,6,3,7,3,1,93,80,59,1018,1008,999,31,13,6,27,18,-,0,Rain
2,2013,1,2,11,7,2,10,6,1,94,89,77,1028,1023,1018,31,12,6,27,13,-,0.25,Rain
3,2013,1,3,11,10,9,9,9,8,100,89,81,1037,1033,1027,31,11,9,24,18,-,0,
4,2013,1,4,10,9,8,8,7,6,93,84,73,1038,1037,1036,31,11,8,24,18,-,0,
5,2013,1,5,11,9,7,9,8,6,100,90,77,1036,1035,1034,31,9,4,23,14,-,0,Rain
6,2013,1,6,9,7,5,8,7,4,100,95,86,1034,1032,1029,14,5,0,19,10,-,0,Fog
7,2013,1,7,9,8,7,8,7,6,93,90,84,1029,1026,1024,19,10,7,21,14,35,0,Rain
8,2013,1,8,11,9,8,9,8,7,100,86,74,1025,1024,1022,31,11,4,26,13,34,1.02,Rain
9,2013,1,9,9,4,1,9,5,0,100,86,66,1022,1021,1019,19,9,2,11,6,-,0.25,Rain
10,2013,1,10,4,2,-1,2,1,-1,100,90,81,1018,1016,1014,14,7,0,11,5,-,0,Fog
11,2013,1,11,7,3,0,4,2,-1,100,89,72,1019,1017,1015,23,7,5,13,6,-,0,
12,2013,1,12,5,3,1,3,1,-3,100,80,50,1015,1012,1011,31,9,5,27,16,-,1.02,Rain
13,2013,1,13,3,2,0,1,-2,-3,81,75,61,1021,1019,1015,16,11,10,19,11,-,0,
14,2013,1,14,4,2,-1,2,-1,-3,94,88,75,1019,1011,1004,19,9,3,21,10,-,4.06,"Rain , Snow"
15,2013,1,15,2,0,-2,0,-1,-4,93,82,73,1012,1009,1004,23,10,5,21,13,-,0,
16,2013,1,16,0,-2,-3,-2,-3,-4,100,91,80,1017,1013,1011,10,5,0,11,6,-,0,Fog
17,2013,1,17,2,-1,-4,-1,-3,-5,93,83,63,1019,1017,1012,18,8,4,14,5,-,0.25,
18,2013,1,18,0,-1,-2,-2,-3,-4,100,85,66,1012,1003,997,18,5,1,26,19,-,0,Snow
19,2013,1,19,1,0,-1,-1,-2,-4,93,84,71,999,997,996,11,8,4,19,14,-,0.76,"Rain , Snow"
20,2013,1,20,0,-1,-2,-1,-2,-4,100,91,75,998,995,992,11,5,1,19,11,-,0.51,"Rain , Snow"
21,2013,1,21,2,-1,-3,-1,-2,-4,100,90,67,1000,994,991,14,8,6,11,8,-,3.05,
22,2013,1,22,3,-1,-5,1,-2,-5,100,87,60,1006,1001,999,18,6,1,34,11,-,1.02,"Fog , Rain , Snow"
23,2013,1,23,2,1,1,0,-1,-2,87,82,73,1010,1008,1005,10,7,5,23,14,-,0.51,"Rain , Snow"
24,2013,1,24,2,1,1,-1,-2,-4,87,76,54,1021,1016,1010,21,10,6,19,11,-,0,Snow
25,2013,1,25,3,1,0,2,-2,-4,93,79,63,1020,1013,1001,26,10,5,29,11,-,0.76,"Rain , Snow"
26,2013,1,26,8,4,2,6,3,1,100,84,64,1010,1006,1001,10,8,4,27,18,42,0.25,Rain
27,2013,1,27,11,7,4,9,4,0,94,75,45,1004,998,991,10,9,6,40,29,58,2.03,Rain
28,2013,1,28,11,6,2,8,4,1,93,82,66,1010,1005,1000,27,10,5,42,19,61,0.51,Rain
29,2013,1,29,13,11,9,12,10,7,94,88,76,1005,1003,1001,31,10,6,39,26,60,0.25,Rain
30,2013,1,30,12,9,7,11,6,2,94,74,45,1018,1007,1000,31,11,3,58,31,76,0.51,Rain
31,2013,1,31,10,8,7,7,4,2,87,72,52,1018,1012,1009,23,11,7,47,27,71,2.03,Rain
32,2013,2,1,7,6,3,5,3,2,95,83,65,1011,1002,998,31,11,9,32,16,50,4.06,Rain
33,2013,2,2,6,2,-1,3,-2,-4,87,68,46,1025,1016,1003,31,14,10,23,14,35,0,Rain
34,2013,2,3,10,4,-1,8,3,-4,87,81,66,1025,1018,1013,31,12,10,29,14,-,0,
35,2013,2,4,11,8,6,8,4,1,87,70,48,1014,1012,1007,24,12,10,35,26,60,0,Rain
36,2013,2,5,6,4,2,3,0,-3,93,71,42,1006,1000,994,10,10,7,58,31,77,0.51,Rain
37,2013,2,6,6,3,2,3,0,-3,87,72,52,1018,1008,995,31,11,10,27,18,42,0.25,Rain
38,2013,2,7,6,3,1,2,-1,-4,93,74,51,1020,1018,1016,31,13,8,23,13,-,0.25,Rain
39,2013,2,8,6,3,0,2,0,-2,93,78,53,1022,1020,1017,29,9,5,19,10,-,0.25,Rain
40,2013,2,9,3,2,2,2,1,-1,96,88,75,1022,1018,1011,31,10,2,14,8,-,0.25,Rain
41,2013,2,10,5,3,1,4,2,0,100,93,87,1011,998,991,11,7,2,27,14,-,10.92,"Rain , Snow"
42,2013,2,11,2,1,0,1,0,0,100,93,87,1009,1000,992,8,5,2,16,13,-,5.08,"Rain , Snow"
43,2013,2,12,2,1,1,0,-2,-4,93,78,65,1021,1015,1009,10,7,4,16,11,-,0,Snow
44,2013,2,13,5,2,1,3,-2,-5,93,76,56,1023,1021,1015,10,7,2,24,13,-,0,"Rain , Snow"
45,2013,2,14,12,8,3,8,4,2,100,80,52,1015,1011,1007,31,11,3,27,21,45,1.02,Rain
46,2013,2,15,11,6,2,4,2,0,93,76,46,1023,1020,1016,31,14,10,19,11,-,0,
47,2013,2,16,10,7,3,3,2,-2,93,73,42,1024,1023,1023,29,12,8,13,6,-,0,
48,2013,2,17,10,5,0,5,2,-1,100,83,40,1023,1021,1019,31,7,0,21,10,-,0.25,Fog
49,2013,2,18,9,4,1,3,1,-1,100,82,45,1021,1020,1019,21,7,2,21,11,-,0.25,
50,2013,2,19,11,5,-1,3,0,-2,94,75,41,1021,1019,1018,14,6,3,10,5,-,0,
51,2013,2,20,5,3,2,3,-1,-4,100,78,56,1025,1023,1019,26,8,1,29,14,42,0.51,Fog
52,2013,2,21,2,1,1,-3,-6,-7,70,58,41,1025,1024,1022,31,11,10,26,21,40,0,
53,2013,2,22,2,1,0,-4,-6,-7,70,60,44,1022,1020,1019,31,12,10,26,18,37,0,Snow
54,2013,2,23,2,1,0,-2,-4,-7,87,69,41,1024,1021,1019,26,10,5,19,13,-,0,"Rain , Snow"
55,2013,2,24,2,1,0,-2,-3,-4,87,71,56,1026,1024,1023,26,11,6,19,11,-,0,
