id,Year,Month,Value
1,1988,1,36.7
2,1988,2,35.1
3,1988,3,36.1
4,1988,4,37.4
5,1988,5,37.6
6,1988,6,37.8
7,1988,7,39.6
8,1988,8,39
9,1988,9,38.3
10,1988,10,40.7
11,1988,11,44.3
12,1988,12,55.5
13,1989,1,38.9
14,1989,2,38.4
15,1989,3,39.6
16,1989,4,40.5
17,1989,5,41.5
18,1989,6,40.6
19,1989,7,41.8
20,1989,8,41.5
21,1989,9,41.2
22,1989,10,43.2
23,1989,11,46.7
24,1989,12,59.4
25,1990,1,41.9
26,1990,2,41.9
27,1990,3,42.7
28,1990,4,44.1
29,1990,5,45
30,1990,6,43.6
31,1990,7,45.8
32,1990,8,44.5
33,1990,9,44.1
34,1990,10,45.7
35,1990,11,48.8
36,1990,12,62.2
37,1991,1,43.3
38,1991,2,42.6
39,1991,3,45.5
40,1991,4,45.7
41,1991,5,45.5
42,1991,6,46
43,1991,7,47.8
44,1991,8,46
45,1991,9,45.8
46,1991,10,47.4
47,1991,11,51.5
48,1991,12,62.2
49,1992,1,45.5
50,1992,2,45.1
51,1992,3,45.4
52,1992,4,47.7
53,1992,5,47.3
54,1992,6,47.4
55,1992,7,47.6
56,1992,8,47.4
57,1992,9,47.1
58,1992,10,49.2
59,1992,11,53
60,1992,12,63.4
61,1993,1,46.9
62,1993,2,46.9
63,1993,3,48
64,1993,4,49.5
65,1993,5,49
66,1993,6,49.4
67,1993,7,50.1
68,1993,8,49.6
69,1993,9,49.7
70,1993,10,51.6
71,1993,11,55.7
72,1993,12,66.8
73,1994,1,49
74,1994,2,48.5
75,1994,3,50.3
76,1994,4,50.6
77,1994,5,51.2
78,1994,6,51.3
79,1994,7,52.1
80,1994,8,51.5
81,1994,9,51.7
82,1994,10,53.5
83,1994,11,57.7
84,1994,12,71.1
85,1995,1,49.1
86,1995,2,50.5
87,1995,3,51.3
88,1995,4,52.9
89,1995,5,52.5
90,1995,6,52.7
91,1995,7,54.1
92,1995,8,52.6
93,1995,9,53
94,1995,10,55.3
95,1995,11,60
96,1995,12,74.3
97,1996,1,51.1
98,1996,2,52.8
99,1996,3,54.3
100,1996,4,55.9
101,1996,5,55.2
102,1996,6,56.7
103,1996,7,57.1
104,1996,8,55.5
105,1996,9,56.6
106,1996,10,58.9
107,1996,11,64.6
108,1996,12,75.8
109,1997,1,54.7
110,1997,2,55.2
111,1997,3,57.2
112,1997,4,58.5
113,1997,5,57.6
114,1997,6,59.4
115,1997,7,60.8
116,1997,8,58.5
117,1997,9,58.4
118,1997,10,62
119,1997,11,67.3
120,1997,12,79.9
121,1998,1,57.7
122,1998,2,58
123,1998,3,59.3
124,1998,4,61.2
125,1998,5,61.1
126,1998,6,60.9
127,1998,7,62.4
128,1998,8,61.1
129,1998,9,60.3
130,1998,10,62.8
131,1998,11,69
132,1998,12,81
133,1999,1,59.4
134,1999,2,59.3
135,1999,3,61.4
136,1999,4,61.5
137,1999,5,62.7
138,1999,6,62.6
139,1999,7,64
140,1999,8,62.6
141,1999,9,61.7
142,1999,10,64.7
143,1999,11,71.2
144,1999,12,83.8
145,2000,1,61.9
146,2000,2,60.9
147,2000,3,62.2
148,2000,4,64.4
149,2000,5,63.9
150,2000,6,63.8
151,2000,7,65.3
152,2000,8,64.3
153,2000,9,63.7
154,2000,10,67.1
155,2000,11,73.5
156,2000,12,89.2
157,2001,1,62.9
158,2001,2,63.1
159,2001,3,64.7
160,2001,4,67.3
161,2001,5,68.7
162,2001,6,67.9
163,2001,7,69.3
164,2001,8,67.5
165,2001,9,67.9
166,2001,10,70.9
167,2001,11,78
168,2001,12,94.9
169,2002,1,66.6
170,2002,2,67.7
171,2002,3,70.1
172,2002,4,71.9
173,2002,5,71.7
174,2002,6,70.2
175,2002,7,72.9
176,2002,8,70.4
177,2002,9,70.5
178,2002,10,74.5
179,2002,11,82.3
180,2002,12,95.6
181,2003,1,67.9
182,2003,2,68.5
183,2003,3,70.2
184,2003,4,73.3
185,2003,5,71.9
186,2003,6,72.6
187,2003,7,73.9
188,2003,8,71.7
189,2003,9,72.4
190,2003,10,76.3
191,2003,11,83.8
192,2003,12,98.1
193,2004,1,71.9
194,2004,2,71.6
195,2004,3,73.6
196,2004,4,76.5
197,2004,5,76.8
198,2004,6,76.8
199,2004,7,77.4
200,2004,8,75.4
201,2004,9,75.9
202,2004,10,79.1
203,2004,11,87.2
204,2004,12,100.4
205,2005,1,72.7
206,2005,2,72.7
207,2005,3,75.4
208,2005,4,76.2
209,2005,5,76.5
210,2005,6,77.4
211,2005,7,77.9
212,2005,8,75.7
213,2005,9,75.7
214,2005,10,79.6
215,2005,11,87.9
216,2005,12,104.5
217,2006,1,72.4
218,2006,2,73.2
219,2006,3,75.1
220,2006,4,78.5
221,2006,5,78.7
222,2006,6,79.8
223,2006,7,80.1
224,2006,8,78.4
225,2006,9,77.9
226,2006,10,82
227,2006,11,90.3
228,2006,12,109
229,2007,1,74.2
230,2007,2,76.2
231,2007,3,79.4
232,2007,4,82.3
233,2007,5,82
234,2007,6,82.7
235,2007,7,82.6
236,2007,8,81.2
237,2007,9,81.3
238,2007,10,84.5
239,2007,11,93.3
240,2007,12,110.5
241,2008,1,78.2
242,2008,2,80.7
243,2008,3,82.1
244,2008,4,83
245,2008,5,87.4
246,2008,6,85.4
247,2008,7,85.7
248,2008,8,84.2
249,2008,9,83.7
250,2008,10,87.1
251,2008,11,95.8
252,2008,12,110.9
253,2009,1,79.8
254,2009,2,79.5
255,2009,3,82.7
256,2009,4,85.7
257,2009,5,85.8
258,2009,6,87.3
259,2009,7,87.7
260,2009,8,85.9
261,2009,9,85.6
262,2009,10,89.8
263,2009,11,98.7
264,2009,12,114.2
265,2010,1,79.7
266,2010,2,82.3
267,2010,3,86.2
268,2010,4,86.8
269,2010,5,88.8
270,2010,6,89.4
271,2010,7,90.1
272,2010,8,88.1
273,2010,9,87.6
274,2010,10,92
275,2010,11,101.3
276,2010,12,116.4
277,2011,1,84.4
278,2011,2,84.7
279,2011,3,87.2
280,2011,4,92.7
281,2011,5,90.7
282,2011,6,91.3
283,2011,7,92.5
284,2011,8,90
285,2011,9,90.8
286,2011,10,95.4
287,2011,11,103.8
288,2011,12,124
289,2012,1,86.2
290,2012,2,86.9
291,2012,3,91.7
292,2012,4,92.4
293,2012,5,93.7
294,2012,6,94.7
295,2012,7,95.2
296,2012,8,92.8
297,2012,9,93.6
298,2012,10,97.2
299,2012,11,106.2
300,2012,12,126.2
301,2013,1,87.5
302,2013,2,90.1
303,2013,3,93.6
304,2013,4,92.6
305,2013,5,96.9
306,2013,6,98.2
307,2013,7,99.4
308,2013,8,95.7
309,2013,9,97.4
310,2013,10,100.6
311,2013,11,110.2
312,2013,12,132.2
313,2014,1,92
314,2014,2,93.8
315,2014,3,96.7
316,2014,4,101
317,2014,5,100.9
318,2014,6,102.3
319,2014,7,102.3
320,2014,8,99.5
321,2014,9,99.1
322,2014,10,104.9
323,2014,11,117
324,2014,12,134.7
325,2015,1,94.9
326,2015,2,95.9
327,2015,3,100.7
328,2015,4,100.8
329,2015,5,103.2
330,2015,6,104
331,2015,7,104.3
332,2015,8,100.2
333,2015,9,102.4
334,2015,10,105.9
335,2015,11,118.7
336,2015,12,133.2
337,2016,1,97.2
338,2016,2,97.5
339,2016,3,100.9
340,2016,4,102.6
341,2016,5,106.1
342,2016,6,104.9
343,2016,7,108
344,2016,8,104.3
345,2016,9,105.2
346,2016,10,112.4
347,2016,11,125.6
348,2016,12,142.3
349,2017,1,98.9
350,2017,2,101.6
351,2017,3,104.5
352,2017,4,111.1
353,2017,5,109.9
354,2017,6,110.5
355,2017,7,112.7
356,2017,8,110.4
