,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
1,-218.97061900833353,111.84464310694528,95.04873465968797,-26.49007266863913,95.37812391843282,123.9017386657719,-115.62967268194069,144.26831545988654,167.25604765003567,-37.526168314361236,168.04838248672056,164.1106945233773,124.01829997780538,151.00419942466976
10,-244.6221584779633,88.48444384205087,88.55812646907287,67.54275400295725,81.50600767754037,109.68757036774218,1.950408995193797,143.6371751701729,174.24778860030202,112.40264821065499,-101.84303097584325,166.27973779946942,-101.84302834991391,106.95196373857935
100,-232.80122147608236,-3254.1184220202094,-36.4219843970667,112.03912652209458,-36.369336005008236,148.9963778947017,-70.58155027284403,175.56528897833797,209.9581766265045,57.17633506868509,149.4930362649038,218.6973231316841,7.850603988556388,171.75646808108576
101,-218.41609354824777,117.20891531836767,112.01088355668676,-31.412434823341727,-30.747261006173872,154.69017557548727,58.878667901314685,177.86342303721528,7.979143451032838,-69.85429446064336,154.6946651518996,204.45021732700485,154.61891857270754,171.34067946220853
102,-421.55406866274177,-118.5240547252717,-295.2397038580411,-68.94295099349152,-1404.5048324952422,-75.82262011168388,-255.54235463663247,1.273845832988524,-37.33483736510328,-34.53546884786081,-334.8344914364804,-97.39009147527725,-352.77882530050914,-3.7227448405092396
103,-211.69760750079467,-130.4189422323118,90.76929603429053,90.89619589248328,106.62529963514571,154.70556958641538,-129.6165966743083,144.4176392830167,132.45778610336927,162.40992570927017,154.70842575198856,174.84184873078766,154.70847574170205,138.744409285704
104,-243.6595498485256,62.17552194776589,61.64001165592161,49.6471845922392,67.47481446066355,-165.65217473618614,-79.09480152505505,104.30611634564809,-6.605271847584643,135.48514375067973,-157.53041080870207,137.5288650849462,78.09337002251448,111.15262848998229
105,-516.4141907496308,-456.6113606798491,-384.69181302076674,-350.4168625775709,-386.03939832648894,-351.149113112228,-428.7444461164125,-328.7191843242601,-515.5674101625466,-319.38369417231405,-68015.43050219429,-394.3901406277086,-409.08079210608037,-409.0598282433366
106,-239.5819395625255,90.56007629625365,90.99697363850387,79.63692296862423,79.63628773216094,-149.2927839830437,-33.662181760813525,123.95967538264742,170.68397443401443,-36.8942832973862,137.46453384927676,167.45028591237295,-161.64950907516632,140.49895558157695
107,-227.1724257558934,-31.023522295396944,90.41772469664222,91.22433306755084,-31.710729278507515,152.3940416330662,-23.661322356025806,141.00288550138364,165.9740278460229,33.06322492620794,6.277773991312109,6.775002422631518,152.39617845610246,135.34320894874025
