,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
1,-713.6953628911983,-0.08438396121475478,-146.6801795144878,-851.8982913435744,-851.8968848069933,-322.6189246034588,791.0453807142162,821.7872282044864,927.229114325022,-323.47297991214145,-323.0216193050833,804.4881336533795,-548.321481854136,792.359196241546
10,-1097.0542176934734,-1097.0542388835229,-10196.948880195738,-68.44092034301633,-2035.8215142208298,141.95392326159666,148.87200421609506,148.07899095246063,-10196.948880195738,1468.0862834970767,1537.92423384267,-51685.9743474432,1516.7238968361075,1540.7144877473613
100,-1196.2894751549884,-1196.2894829417298,60.40959640853529,-94.76570672182218,-98.14109707357281,815.7817137077124,-245.2160315291287,899.0512184649205,818.8646124082859,65.02978493257444,-761.1522221991768,69.69232495832034,994.7514305640073,855.18321147971
101,-884.5585867357477,-884.5585938149995,-2511.4763664844627,-21.257701487224967,-21.484278256102755,-369.30051177556095,-437.5120334707313,90.20008442811195,1129.59590790343,98.89977733139769,-905.7996750380931,1191.325157615157,1159.0687782398352,1128.808884671562
102,-1428.1827617358827,-263.13031290653447,-132.9281724491128,-266.09369108889024,-60.381629540452906,-996.5167281524642,-1428.1827620048753,82.70370339380065,169.0308488913584,-831.2567415036469,-1717.5404605141296,-581.3487705847009,-169.73230503002443,-39.28249554940854
103,-1055.615170401734,-1055.6198887279784,-7682.732138299433,-57.30612942428442,-2035.231935263824,1579.0880027190858,150.1733161732111,150.17336903073928,-7682.732138299433,149.92483461267275,-182.152778484287,-33875.756408514106,-175.4361509987146,1616.2660260202438
104,-1374.4038124385363,-1373.5445045767049,-1514.7573636210589,-150.17456693154935,-2049.154212669261,280.12138644789275,147.44748407121088,1391.1148434750335,-71666.95410716298,1433.3025456872117,-628.8580308922162,126.61232970414318,1439.1714576279896,1445.7872880987147
105,-1926.3513730742757,-1927.5570171821623,-3625835.97026911,-664.6044993695363,-673.3648170659918,-2616.581132308422,-1093.76029977164,-311.2732204247398,-864.2697846172111,-309.9030550877437,-2405.5904514983717,-1266.9747146947743,-1166.9595006812765,-520.4907532206045
106,-1299.790131105913,-1295.5790771518891,-1300.0315562604612,-127.138791161652,-2042.0863829098384,143.27008257696266,1111.2406309974233,144.51265604086203,262.70850185662675,-999999999.0,-781.9596770340675,-118507.19077679724,1131.927775119723,329.8225864890078
107,-1038.8296293769222,-1038.8324734661874,-1049.5497604166785,-52.890253895771195,-2035.0372609441474,1584.3774670829416,1654.8226751441237,150.8337911647932,138.42318284174408,1645.9649084518376,1656.1634600910193,129.04257209749508,1563.2588365767485,1629.9081415298538
108,-1201.1215247332073,-1196.591399289225,-1208.7124013677997,-658.9258345438996,-2038.55972745745,1137.1022659659598,1071.7012003482403,1109.4518766315152,-21004.133618617125,1129.1989056966697,-935.9698828709118,129.84756905016692,143.91893016381354,-345.6514445864241
109,-1110.8535689416813,-854.7392428883785,-428.0072149138863,-270.18850523190304,140.1121197090122,607.6080096075505,952.5067279271178,940.441537118456,961.8267037300759,-1032.418594735126,-953.4833455892704,-155.38903747798895,943.4186205350054,945.0825603146787
11,-955.2037543972651,-7216.237581957331,-3922.93007356739,-31.202128007184363,-30.826127533833663,-877.6375313594262,1177.6782869707736,162.741450772294,1171.8935702293854,825.1745769284589,-884.0011272226127,81.68095498909452,142.24665984503335,1181.8363886063137
110,-1003.3852788178199,-10136.785417806088,-5418.814983041264,-1135.672604040831,-57.18136513213416,1004.3245066475434,928.0715100657328,290.1037987219354,113.99343000171238,114.39513268585746,-999.3486143514943,989.0287095372605,988.7925179981953,277.143308330305
111,-2361.687072720998,-1928432.2112221327,-1753.338371923653,-17718.8189198339,-17718.8189198339,-17612.90167065664,-799307.3723315767,-41.24324493615846,-747.0226660030123,-38.020600880375014,-2037.459932378201,-50.724751310549046,111.2722550774617,90.4317273622361
112,-1048.8843669064254,-593.9792137038049,130.4316870325235,-50.95980805490306,-2035.1985700956736,130.9233990433332,-300.11916993266607,130.42348555492177,1413.4214102003216,1382.5907419700254,-820.2699655756888,-58014.53234833032,1398.4471435605292,1393.3303868490434
