cid,composition,white_added,second_exception
1,l,False,False
1,p,False,False
1,r,False,False
1,l+p,False,False
1,l+r,False,False
1,p+r,False,False
1,l*r,True,False
1,l*p,True,False
1,p*r,False,False
1,l+r+p,False,False
1,l+r*p,False,False
1,l*r+p,False,False
1,l*p+r,False,False
1,l*r*p,False,False
2,l,False,False
2,p,False,False
2,r,False,False
2,l+p,False,False
2,l+r,False,False
2,p+r,False,False
2,l*r,False,False
2,l*p,True,False
2,p*r,False,False
2,l+r+p,False,False
2,l+r*p,False,False
2,l*r+p,False,False
2,l*p+r,False,False
2,l*r*p,True,False
3,l,False,False
3,p,False,False
3,r,False,False
3,l+p,False,False
3,l+r,True,False
3,p+r,False,False
3,l*r,True,True
3,l*p,False,False
3,p*r,True,False
3,l+r+p,False,False
3,l+r*p,True,False
3,l*r+p,True,True
3,l*p+r,True,False
3,l*r*p,True,True
4,l,False,False
4,p,False,False
4,r,False,False
4,l+p,False,False
4,l+r,False,False
4,p+r,False,False
4,l*r,False,False
4,l*p,True,False
4,p*r,False,False
4,l+r+p,False,False
4,l+r*p,False,False
4,l*r+p,False,False
4,l*p+r,False,False
4,l*r*p,False,False
5,l,False,False
5,p,False,False
5,r,False,False
5,l+p,False,False
5,l+r,False,False
5,p+r,False,False
5,l*r,True,False
5,l*p,False,False
5,p*r,True,False
5,l+r+p,False,False
5,l+r*p,False,False
5,l*r+p,False,False
5,l*p+r,False,False
5,l*r*p,True,False
6,l,False,False
6,p,False,False
6,r,False,False
6,l+p,False,False
6,l+r,False,False
6,p+r,False,False
6,l*r,True,True
6,l*p,True,False
6,p*r,True,False
6,l+r+p,False,False
6,l+r*p,False,False
6,l*r+p,False,False
6,l*p+r,True,True
6,l*r*p,True,True
7,l,False,False
7,p,False,False
7,r,False,False
7,l+p,False,False
7,l+r,True,False
7,p+r,False,False
7,l*r,True,False
7,l*p,False,False
7,p*r,True,False
7,l+r+p,False,False
7,l+r*p,True,False
7,l*r+p,False,False
7,l*p+r,False,False
7,l*r*p,True,True
8,l,False,False
8,p,False,False
8,r,False,False
8,l+p,False,False
8,l+r,True,False
8,p+r,False,False
8,l*r,True,False
8,l*p,False,False
8,p*r,True,False
8,l+r+p,False,False
8,l+r*p,True,False
8,l*r+p,True,False
8,l*p+r,True,False
8,l*r*p,True,True
9,l,False,False
9,p,False,False
9,r,False,False
9,l+p,False,False
9,l+r,False,False
9,p+r,False,False
9,l*r,True,True
9,l*p,False,False
9,p*r,False,False
9,l+r+p,False,False
9,l+r*p,False,False
9,l*r+p,True,True
9,l*p+r,False,False
9,l*r*p,True,True
10,l,False,False
10,p,False,False
10,r,False,False
10,l+p,True,False
10,l+r,True,False
10,p+r,False,False
10,l*r,True,False
10,l*p,False,False
10,p*r,True,True
10,l+r+p,False,False
10,l+r*p,True,True
10,l*r+p,True,False
10,l*p+r,True,True
10,l*r*p,True,True
11,l,False,False
11,p,False,False
11,r,False,False
11,l+p,False,False
11,l+r,False,False
11,p+r,True,False
11,l*r,True,False
11,l*p,True,True
11,p*r,False,False
11,l+r+p,False,False
11,l+r*p,False,False
11,l*r+p,False,False
11,l*p+r,True,True
11,l*r*p,True,False
12,l,False,False
12,p,True,False
12,r,False,False
12,l+p,False,False
12,l+r,True,False
12,p+r,False,False
12,l*r,False,False
12,l*p,False,False
12,p*r,False,False
12,l+r+p,False,False
12,l+r*p,False,False
12,l*r+p,True,False
12,l*p+r,True,False
12,l*r*p,False,False
13,l,False,False
13,p,False,False
13,r,False,False
13,l+p,False,False
13,l+r,False,False
13,p+r,False,False
13,l*r,True,False
13,l*p,False,False
13,p*r,False,False
13,l+r+p,False,False
13,l+r*p,False,False
13,l*r+p,False,False
13,l*p+r,False,False
13,l*r*p,True,False
14,l,False,False
14,p,False,False
14,r,False,False
14,l+p,False,False
14,l+r,False,False
14,p+r,False,False
14,l*r,False,False
14,l*p,False,False
14,p*r,True,False
14,l+r+p,False,False
14,l+r*p,False,False
14,l*r+p,False,False
14,l*p+r,True,False
14,l*r*p,True,False
15,l,False,False
15,p,False,False
15,r,False,False
15,l+p,True,False
15,l+r,True,False
15,p+r,False,False
15,l*r,True,False
15,l*p,False,False
15,p*r,False,False
15,l+r+p,False,False
15,l+r*p,False,False
15,l*r+p,True,True
15,l*p+r,True,True
15,l*r*p,True,False
16,l,False,False
16,p,False,False
16,r,False,False
16,l+p,False,False
16,l+r,False,False
16,p+r,False,False
16,l*r,True,False
16,l*p,False,False
16,p*r,False,False
16,l+r+p,True,False
16,l+r*p,False,False
16,l*r+p,False,False
16,l*p+r,True,False
16,l*r*p,True,False
17,l,False,False
17,p,False,False
17,r,False,False
17,l+p,False,False
17,l+r,True,False
17,p+r,True,False
17,l*r,True,False
17,l*p,True,False
17,p*r,False,False
17,l+r+p,False,False
17,l+r*p,True,False
17,l*r+p,False,False
17,l*p+r,True,False
17,l*r*p,True,True
18,l,False,False
18,p,False,False
18,r,False,False
18,l+p,False,False
18,l+r,False,False
18,p+r,False,False
18,l*r,False,False
18,l*p,False,False
18,p*r,False,False
18,l+r+p,False,False
18,l+r*p,False,False
18,l*r+p,False,False
18,l*p+r,True,True
18,l*r*p,True,False
19,l,False,False
19,p,False,False
19,r,False,False
19,l+p,False,False
19,l+r,False,False
19,p+r,False,False
19,l*r,False,False
19,l*p,False,False
19,p*r,False,False
19,l+r+p,False,False
19,l+r*p,False,False
19,l*r+p,True,False
19,l*p+r,True,False
19,l*r*p,True,False
20,l,False,False
20,p,False,False
20,r,False,False
20,l+p,False,False
20,l+r,True,False
20,p+r,False,False
20,l*r,True,False
20,l*p,True,False
20,p*r,True,False
20,l+r+p,False,False
20,l+r*p,False,False
20,l*r+p,False,False
20,l*p+r,False,False
20,l*r*p,False,False
21,l,False,False
21,p,False,False
21,r,False,False
21,l+p,False,False
21,l+r,False,False
21,p+r,False,False
21,l*r,False,False
21,l*p,True,False
21,p*r,True,False
21,l+r+p,True,False
21,l+r*p,False,False
21,l*r+p,False,False
21,l*p+r,False,False
21,l*r*p,False,False
22,l,False,False
22,p,False,False
22,r,False,False
22,l+p,False,False
22,l+r,False,False
22,p+r,False,False
22,l*r,True,False
22,l*p,True,False
22,p*r,True,False
22,l+r+p,True,False
22,l+r*p,False,False
22,l*r+p,True,False
22,l*p+r,True,False
22,l*r*p,True,True
23,l,False,False
23,p,False,False
23,r,False,False
23,l+p,True,False
23,l+r,False,False
23,p+r,False,False
23,l*r,True,False
23,l*p,True,False
23,p*r,False,False
23,l+r+p,False,False
23,l+r*p,False,False
23,l*r+p,False,False
23,l*p+r,False,False
23,l*r*p,True,False
24,l,False,False
24,p,False,False
24,r,False,False
24,l+p,False,False
24,l+r,False,False
24,p+r,False,False
24,l*r,True,True
24,l*p,False,False
24,p*r,True,False
24,l+r+p,True,False
24,l+r*p,False,False
24,l*r+p,False,False
24,l*p+r,False,False
24,l*r*p,True,True
25,l,False,False
25,p,False,False
25,r,False,False
25,l+p,True,False
25,l+r,False,False
25,p+r,False,False
25,l*r,False,False
25,l*p,False,False
25,p*r,False,False
25,l+r+p,False,False
25,l+r*p,True,False
25,l*r+p,False,False
25,l*p+r,False,False
25,l*r*p,True,True
26,l,False,False
26,p,False,False
