id,kernel,lml,white_added,second_exception
1,l,-136.538428035,False,False
1,p,190.104907833,False,False
1,r,180.696480973,False,False
1,l+r,175.570017649,False,False
1,l+p,-119.914483746,False,False
1,p+r,201.173357919,False,False
1,l*r,-134.802028811,False,False
1,l*p,106.892336775,False,False
1,p*r,76.0197934663,False,False
1,l+r+p,76.4686501712,False,False
1,l+r*p,-19.7428075999,True,False
1,l*r+p,84.6464689085,False,False
1,l*p+r,105.675904965,False,False
1,l*r*p,-134.791920644,False,False
2,l,-172.136758738,False,False
2,p,-169.255492734,False,False
2,r,114.651961781,False,False
2,l+r,111.436691973,False,False
2,l+p,-166.046720659,False,False
2,p+r,114.432087323,False,False
2,l*r,10.9062666973,False,False
2,l*p,-18.028851616,True,False
2,p*r,63.7524092898,False,False
2,l+r+p,150.94824663,False,False
2,l+r*p,122.654645764,False,False
2,l*r+p,-83.0135758708,True,False
2,l*p+r,73.5000973626,False,False
2,l*r*p,8.17201100835,False,False
3,l,-409.823432064,False,False
3,p,-2810.63965717,True,False
3,r,-240.661276825,False,False
3,l+r,-3877.60548926,False,False
3,l+p,-420.528402307,False,False
3,p+r,-225.818715741,False,False
3,l*r,-279.163825819,True,False
3,l*p,-409.6534467,False,False
3,p*r,-273.258025903,True,False
3,l+r+p,-361.495925162,False,False
3,l+r*p,-335.432480641,False,False
3,l*r+p,-210.728054701,False,False
3,l*p+r,-150.327377062,True,False
3,l*r*p,-196.289642938,True,False
4,l,-127.89697912,False,False
4,p,162.46957897,False,False
4,r,164.039780462,False,False
4,l+r,-3.00419889817,True,False
4,l+p,-119.796336875,False,False
4,p+r,163.734321897,False,False
4,l*r,61.021933427,False,False
4,l*p,48.8546600489,False,False
4,p*r,-117.945420677,True,False
4,l+r+p,-5.88821366871,True,False
4,l+r*p,-11.4052369276,True,False
4,l*r+p,67.8860237528,False,False
4,l*p+r,120.765773363,False,False
4,l*r*p,61.0125588498,False,False
5,l,-126.877825859,False,False
5,p,-123.590433725,False,False
5,r,113.683757588,False,False
5,l+r,102.215168117,False,False
5,l+p,165.520025883,False,False
5,p+r,-97.352459561,False,False
5,l*r,61.3504713515,False,False
5,l*p,-6.62522385135,True,False
5,p*r,172.926598046,False,False
5,l+r+p,149.313663546,False,False
5,l+r*p,180.684173149,False,False
5,l*r+p,160.566381024,False,False
5,l*p+r,119.562282386,False,False
5,l*r*p,61.3186438968,False,False
6,l,-306.410214634,False,False
6,p,-313.404914362,False,False
6,r,-22.0585489822,False,False
6,l+r,-72.2052272806,False,False
6,l+p,-298.991653322,False,False
6,p+r,-85.8951826931,False,False
6,l*r,-117.032304441,True,False
6,l*p,-87.3447875692,True,False
6,p*r,-323.937993502,False,False
6,l+r+p,-334.527953375,False,False
6,l+r*p,-287.441385114,True,False
6,l*r+p,-43.5629721956,True,False
6,l*p+r,-288.723099593,True,False
6,l*r*p,-162.178082349,False,False
7,l,-127.93719157,False,False
7,p,-124.779273428,False,False
7,r,-125.684190521,False,False
7,l+r,-119.231553465,False,False
7,l+p,3.58774975772,False,False
7,p+r,-133.011864911,False,False
7,l*r,58.7479517136,False,False
7,l*p,-12.3707683954,True,False
7,p*r,-127.892618667,True,False
7,l+r+p,144.104042615,False,False
7,l+r*p,-120.015239009,False,False
7,l*r+p,74.46449334,False,False
7,l*p+r,-37.4779482589,True,False
7,l*r*p,58.7154764633,False,False
8,l,-178.343264797,False,False
8,p,147.825490487,False,False
8,r,-135.503852412,False,False
8,l+r,-156.753615669,True,False
8,l+p,-163.948964472,False,False
8,p+r,-127.895554394,False,False
8,l*r,-177.413920759,False,False
8,l*p,63.9741159141,False,False
8,p*r,-198.640526093,True,False
8,l+r+p,132.434308221,False,False
8,l+r*p,-27.5940943046,False,False
8,l*r+p,140.971040169,False,False
8,l*p+r,-4.46503067531,True,False
8,l*r*p,-177.39855917,False,False
9,l,-409.834659856,False,False
9,p,-233.430112025,False,False
9,r,-267.779414421,False,False
9,l+r,-750162.083815,True,False
9,l+p,-409.829616076,False,False
9,p+r,-411.996145774,False,False
9,l*r,-196.274463471,True,False
9,l*p,-313.758614417,True,False
9,p*r,-420.037714823,True,False
9,l+r+p,-582.093229021,False,False
9,l+r*p,-431.318150331,False,False
9,l*r+p,-198.186018183,True,False
9,l*p+r,-406.967264167,True,False
9,l*r*p,-172.61427009,False,False
10,l,-127.132870274,False,False
10,p,-123.95405282,False,False
10,r,-121.463999019,False,False
10,l+r,-118.638893251,False,False
10,l+p,170.17727853,False,False
10,p+r,-131.961747607,False,False
10,l*r,58.3079243852,False,False
10,l*p,-13.1080209458,True,False
10,p*r,-1.82348369097,True,False
10,l+r+p,-5.92421390042,True,False
10,l+r*p,-118.539541938,True,False
10,l*r+p,-108.618679101,False,False
10,l*p+r,-7.6170369324,True,False
10,l*r*p,58.2765543968,False,False
11,l,-127.723202436,False,False
11,p,-98.0224129576,False,False
11,r,-119.163623475,False,False
11,l+r,-120.09017911,True,False
11,l+p,-1306.63946372,True,False
11,p+r,-118.520910398,False,False
11,l*r,-17.3566799964,True,False
11,l*p,123.527387812,False,False
11,p*r,-30.5591117263,True,False
11,l+r+p,-5.33754637283,True,False
11,l+r*p,-166.681372954,True,False
11,l*r+p,-38.9492260251,True,False
11,l*p+r,-64.0152892749,True,False
11,l*r*p,59.3656637828,False,False
12,l,-309.087666299,False,False
12,p,-331.389530099,False,False
12,r,-16658.2407994,False,False
12,l+r,-159.264824409,False,False
12,l+p,-276.634498629,False,False
12,p+r,-161.239271243,False,False
12,l*r,-91.0674693907,True,False
12,l*p,-255.72229935,False,False
12,p*r,-1.90379001399,False,False
12,l+r+p,-296.394821814,True,False
12,l+r*p,-223.635038883,False,False
12,l*r+p,6.93977982042,False,False
12,l*p+r,-339.133035427,False,False
12,l*r*p,-52.4944376851,False,False
13,l,-148.103614661,False,False
13,p,202.328236474,False,False
13,r,183.486965811,False,False
13,l+r,-0.517256244354,True,False
13,l+p,-77.8733352432,False,False
13,p+r,183.155420302,False,False
13,l*r,-12.8660102389,True,False
13,l*p,144.343044183,False,False
13,p*r,-187.950189598,False,False
13,l+r+p,-0.461715502351,True,False
13,l+r*p,0.207630022987,True,False
13,l*r+p,-70.9031183019,True,False
13,l*p+r,-82.5967486215,False,False
13,l*r*p,-41.1317305616,True,False
14,l,-190.253542794,False,False
14,p,135.121364687,False,False
14,r,135.170072669,False,False
14,l+r,-13.6542358878,True,False
14,l+p,-126.17709352,False,False
14,p+r,130.185520536,False,False
14,l*r,-31.4282725535,True,False
14,l*p,96.2670503651,False,False
14,p*r,158.276730203,False,False
14,l+r+p,135.949875654,False,False
14,l+r*p,0.400625516282,True,False
14,l*r+p,40.6280908397,False,False
14,l*p+r,98.0578778445,False,False
14,l*r*p,-182.558044611,False,False
15,l,-344.893515472,False,False
15,p,-354.46185553,False,False
15,r,-221.330724861,False,False
15,l+r,-63.6866808644,False,False
15,l+p,-356.861879174,False,False
15,p+r,-66.5105359589,False,False
15,l*r,-84.5625760801,False,False
15,l*p,-497.000032663,False,False
15,p*r,-138.545529741,False,False
15,l+r+p,-211.764281397,False,False
15,l+r*p,-61.5140508742,True,False
15,l*r+p,-75.3721855518,True,False
15,l*p+r,-332.994153807,True,False
15,l*r*p,-164.69561278,True,False
16,l,-150.274681185,False,False
16,p,180.458279047,False,False
16,r,169.647932487,False,False
16,l+r,4.88450688254,True,False
16,l+p,10.5621091062,False,False
16,p+r,8.52608709778,True,False
16,l*r,-142.957281492,False,False
16,l*p,-83.0743797942,False,False
16,p*r,161.749359977,False,False
16,l+r+p,93.1906264381,False,False
16,l+r*p,-3.09341542507,True,False
16,l*r+p,81.2227796376,False,False
16,l*p+r,-83.1015564306,True,False
16,l*r*p,-143.006874266,False,False
17,l,-147.476962972,False,False
17,p,6.00773945572,True,False
17,r,196.851376019,False,False
17,l+r,193.686938479,False,False
17,l+p,-76.6277875104,False,False
17,p+r,209.099289831,False,False
17,l*r,-141.26558303,False,False
17,l*p,-147.13558001,False,False
17,p*r,41.6783240441,False,False
17,l+r+p,56.2007335852,False,False
17,l+r*p,216.357490479,False,False
17,l*r+p,95.9903922977,False,False
17,l*p+r,-82.5563071874,True,False
17,l*r*p,-141.275231024,False,False
18,l,-248.104720002,False,False
18,p,-243.841809884,False,False
18,r,34.2046859484,False,False
18,l+r,12.6906904888,False,False
18,l+p,-154.405230758,False,False
18,p+r,-29.5998469091,True,False
18,l*r,24.4332434796,False,False
18,l*p,-41.6306332643,False,False
18,p*r,-268.097817604,False,False
18,l+r+p,-99.523409168,False,False
18,l+r*p,-20.4718066953,False,False
18,l*r+p,-170.719304643,False,False
