pid,composition,lml,white_added,second_exception
1,l,-482.447053924,False,False
1,p,-214.428192445,False,False
1,r,612.3553509,False,False
1,l+r,611.412505952,False,False
1,l+p,-485.780386727,False,False
1,p+r,612.355340626,False,False
1,l*r,-480.885757444,False,False
1,l*p,-114.686316267,False,False
1,p*r,35.156183915,True,False
1,l+r+p,611.41251801,False,False
1,l+r*p,680.744307216,False,False
1,l*r+p,-190.865939111,False,False
1,l*p+r,355.935198972,False,False
1,l*r*p,-480.885757146,False,False
2,l,-723.641728863,False,False
2,p,-722.830245366,False,False
2,r,210.44778419,False,False
2,l+r,-10.7270799125,True,False
2,l+p,-730.658312741,False,False
2,p+r,430.20264401,False,False
2,l*r,-17.2633463035,True,False
2,l*p,3.2884283608,False,False
2,p*r,494.839546356,False,False
2,l+r+p,429.830288199,False,False
2,l+r*p,494.668945422,False,False
2,l*r+p,-515.882509215,False,False
2,l*p+r,-15.9482874879,True,False
2,l*r*p,-7.12680019217,True,False
3,l,-1410.13088454,False,False
3,p,-1410.12707172,False,False
3,r,-734.933621318,False,False
3,l+r,-734.934291092,False,False
3,l+p,-1410.130861,False,False
3,p+r,-734.933621337,False,False
3,l*r,-1438.74261661,False,False
3,l*p,-1410.12700298,False,False
3,p*r,-805.426075008,False,False
3,l+r+p,-734.934291666,True,False
3,l+r*p,-792.078763275,False,False
3,l*r+p,-1438.63870832,False,False
3,l*p+r,-786.722024583,True,False
3,l*r*p,-678.686188261,False,False
4,l,-564.228266665,False,False
4,p,-567.455519732,False,False
4,r,638.582538212,False,False
4,l+r,623.656511188,False,False
4,l+p,-520.379170635,False,False
4,p+r,629.530000454,False,False
4,l*r,-567.455505372,False,False
4,l*p,-33.1052156021,True,False
4,p*r,539.761089498,False,False
4,l+r+p,622.597258037,False,False
4,l+r*p,718.315558681,False,False
4,l*r+p,-567.455521672,False,False
4,l*p+r,-545.001972167,True,False
4,l*r*p,-567.455503086,False,False
5,l,-406.393493975,False,False
5,p,-404.949968049,False,False
5,r,960.303379533,False,False
5,l+r,959.810461143,False,False
5,l+p,17.6304786787,False,False
5,p+r,-314.232529117,False,False
5,l*r,-404.706877625,False,False
5,l*p,75.8955693123,True,False
5,p*r,998.428723109,False,False
5,l+r+p,17.5442777265,False,False
5,l+r*p,990.890595177,False,False
5,l*r+p,-404.706923637,False,False
5,l*p+r,-275.00389501,True,False
5,l*r*p,-404.706867266,False,False
6,l,-997.569860731,False,False
6,p,-997.397651395,False,False
6,r,379.420994432,False,False
6,l+r,379.405808265,False,False
6,l+p,-997.569866535,False,False
6,p+r,-960.996631806,False,False
6,l*r,357.625373921,False,False
6,l*p,-45.389197305,True,False
6,p*r,375.569423059,False,False
6,l+r+p,-965.38945809,False,False
6,l+r*p,404.484758541,False,False
6,l*r+p,-516.567623937,False,False
6,l*p+r,-45.3930799148,True,False
6,l*r*p,-10.2869774302,True,False
7,l,-498.850155227,False,False
7,p,-292.122883457,False,False
7,r,614.229633969,False,False
7,l+r,692.586206017,False,False
7,l+p,-191.501550413,False,False
7,p+r,-268.915020092,False,False
7,l*r,-499.344636911,False,False
7,l*p,-135.081770211,False,False
7,p*r,-3.75767359508,True,False
7,l+r+p,32.45517363,True,False
7,l+r*p,721.843410601,False,False
7,l*r+p,-455.10737389,False,False
7,l*p+r,474.466310045,False,False
7,l*r*p,-499.344636762,False,False
8,l,-663.311763977,False,False
8,p,-662.236413538,False,False
8,r,527.990445927,False,False
8,l+r,13.1835569613,True,False
8,l+p,-663.311763095,False,False
8,p+r,527.990440004,False,False
8,l*r,8.70154915293,True,False
8,l*p,-447.140771941,False,False
8,p*r,585.258206596,False,False
8,l+r+p,-436.602060243,False,False
8,l+r*p,17.7916834867,True,False
8,l*r+p,-396.820716952,False,False
8,l*p+r,-58.822967816,True,False
8,l*r*p,523.823737059,False,False
9,l,-1487.62128464,False,False
9,p,-1828.90494922,False,False
9,r,-214.648524168,False,False
9,l+r,-214.648361705,False,False
9,l+p,-1487.62129282,False,False
9,p+r,-214.648530135,False,False
9,l*r,-202.786366207,False,False
9,l*p,-1216.08587281,True,False
9,p*r,-498.890541211,False,False
9,l+r+p,-214.793575867,False,False
9,l+r*p,-463.70911856,False,False
9,l*r+p,-202.677099683,False,False
9,l*p+r,-1051.56243628,False,False
9,l*r*p,-1448.78484306,False,False
10,l,-524.894649523,False,False
10,p,-411.509566841,False,False
10,r,720.951021533,False,False
10,l+r,720.452077183,False,False
10,l+p,-458.356823466,False,False
10,p+r,-527.703897245,False,False
10,l*r,-529.576354294,False,False
10,l*p,-26.6856397095,True,False
10,p*r,588.915836601,False,False
10,l+r+p,-254.478861276,False,False
10,l+r*p,786.955207082,False,False
10,l*r+p,-529.576369453,False,False
10,l*p+r,720.945544862,False,False
10,l*r*p,-529.576355125,False,False
11,l,-608.547614324,False,False
11,p,-611.121937173,False,False
11,r,754.131046687,False,False
11,l+r,767.303457432,False,False
11,l+p,-592.620131149,False,False
11,p+r,766.697181845,False,False
11,l*r,56.1748718643,True,False
11,l*p,-311.76766374,False,False
11,p*r,819.335754247,False,False
11,l+r+p,724.030492448,False,False
11,l+r*p,806.517913133,False,False
11,l*r+p,-22.7476698465,True,False
11,l*p+r,50.8512038722,False,False
11,l*r*p,-1670.18129704,True,True
12,l,-1318.42851595,False,False
12,p,-1325.66046304,False,False
12,r,-95.9282950243,False,False
12,l+r,-201.178176471,True,False
12,l+p,-1071.25357744,False,False
12,p+r,-95.9282977153,False,False
12,l*r,-1346.79202174,False,False
12,l*p,-1117.72105838,True,False
12,p*r,-3.67973621101,False,False
12,l+r+p,-1071.42081316,False,False
12,l+r*p,-3.67055685656,False,False
12,l*r+p,-740.470068398,True,False
12,l*p+r,-520815.144861,True,True
12,l*r*p,-10.3040482225,False,False
13,l,-554.064969725,False,False
13,p,-398.896616618,False,False
13,r,546.043331223,False,False
13,l+r,545.268547588,False,False
13,l+p,-550.662250371,True,False
13,p+r,546.050066806,False,False
13,l*r,-553.293806123,False,False
13,l*p,-553.224878261,False,False
13,p*r,493.526641801,False,False
13,l+r+p,-290.803866986,False,False
13,l+r*p,600.170153225,False,False
13,l*r+p,-408.162177745,False,False
13,l*p+r,-206.924282158,True,False
13,l*r*p,-553.293806657,False,False
14,l,-779.344878013,False,False
14,p,-778.879127436,False,False
14,r,389.718255003,False,False
14,l+r,381.662476802,False,False
14,l+p,-321.116878339,False,False
14,p+r,389.718249558,False,False
14,l*r,-9.6064444587,True,False
14,l*p,-364.29165765,False,False
14,p*r,460.9591931,False,False
14,l+r+p,395.822467421,False,False
14,l+r*p,-6.33728937463,True,False
14,l*r+p,-9.39442357497,True,False
14,l*p+r,-362.854169997,False,False
14,l*r*p,464.279830976,False,False
15,l,-1254.6544545,False,False
15,p,-1258.98622715,False,False
15,r,-583.970915836,False,False
15,l+r,-56.1320384476,False,False
15,l+p,-1195.55711496,False,False
15,p+r,-56.9669290018,False,False
15,l*r,-1329.46380927,False,False
15,l*p,-250.804016203,True,False
15,p*r,14.6476722438,False,False
15,l+r+p,-44.7516937815,False,False
15,l+r*p,11.8007668953,False,False
15,l*r+p,-1671.97273836,True,True
15,l*p+r,-1233.13903373,False,False
15,l*r*p,-14.312958886,False,False
16,l,-513.146474935,False,False
16,p,-512.83393608,False,False
16,r,536.886805128,False,False
16,l+r,536.175429438,False,False
16,l+p,-504.724968892,False,False
16,p+r,-501.978321684,False,False
16,l*r,-512.833915026,False,False
16,l*p,249.570738141,False,False
16,p*r,580.267792597,False,False
16,l+r+p,536.175418793,False,False
16,l+r*p,570.127750119,False,False
16,l*r+p,-341.782889955,False,False
16,l*p+r,11.8387274522,True,False
16,l*r*p,-512.833912236,False,False
17,l,-485.37773454,False,False
17,p,-493.580219467,False,False
17,r,941.160383387,False,False
17,l+r,943.121958446,False,False
17,l+p,58.3749394718,False,False
17,p+r,941.160124622,False,False
17,l*r,-493.580193814,False,False
17,l*p,-356.289601519,False,False
17,p*r,76.6991889158,True,False
17,l+r+p,46.4089092953,False,False
17,l+r*p,973.96403269,False,False
17,l*r+p,2.58410610191,True,False
17,l*p+r,941.160290253,False,False
17,l*r*p,-493.580192784,False,False
18,l,-1112.37681749,False,False
18,p,-1112.36750724,False,False
18,r,100.507341046,False,False
18,l+r,-118.04340899,True,False
18,l+p,-1117.27914575,False,False
18,p+r,100.56068939,False,False
18,l*r,103.610891445,False,False
18,l*p,-1112.36751695,False,False
18,p*r,144.496188786,False,False
18,l+r+p,-126.354398694,True,False
18,l+r*p,146.7132701,False,False
18,l*r+p,116.877898686,False,False
18,l*p+r,-895.94822358,False,False
18,l*r*p,152.740855012,False,False
19,l,-582.458702222,False,False
19,p,-581.282580283,False,False
19,r,486.634645841,False,False
19,l+r,486.209854729,False,False
19,l+p,-582.458699786,False,False
19,p+r,-132.759699477,False,False
19,l*r,-581.282571118,False,False
19,l*p,-393.10439332,False,False
19,p*r,477.922040458,False,False
19,l+r+p,-547.644798851,False,False
19,l+r*p,541.087408019,False,False
19,l*r+p,-581.282580374,False,False
19,l*p+r,-569.292253338,False,False
19,l*r*p,-581.282571027,False,False
20,l,-691.092118235,False,False
20,p,-690.397011554,False,False
20,r,457.567602834,False,False
20,l+r,457.501560618,False,False
20,l+p,-690.996652124,False,False
20,p+r,-659.26431379,False,False
20,l*r,-18.1538984994,True,False
20,l*p,-506.402421347,False,False
20,p*r,400.519822603,False,False
20,l+r+p,-223.848023902,False,False
20,l+r*p,-7.28251774334,True,False
20,l*r+p,-685.772070958,False,False
20,l*p+r,-506.400256511,False,False
20,l*r*p,-18.1538984974,True,False
21,l,-1613.1343509,False,False
21,p,-1622.3693586,False,False
21,r,-830.045275324,False,False
21,l+r,-815.791345451,False,False
21,l+p,-1415.60825347,False,False
21,p+r,-815.792475045,False,False
21,l*r,-819.358801164,False,False
21,l*p,-1617.72744942,False,False
21,p*r,-758.457973485,False,False
21,l+r+p,-775.224265533,False,False
21,l+r*p,-777.313304237,False,False
21,l*r+p,-1666.9918538,False,False
21,l*p+r,-1291.70595739,True,False
21,l*r*p,-703.96639745,False,False
22,l,-698.75799163,False,False
22,p,55.3420555775,True,False
22,r,696.934985063,False,False
22,l+r,55.7430385659,True,False
22,l+p,-597.735414776,True,False
22,p+r,-2243.14590345,True,True
22,l*r,58.106533231,True,False
22,l*p,-698.758071998,False,False
22,p*r,780.4731864,False,False
22,l+r+p,-597.96166461,False,False
22,l+r*p,801.994478921,False,False
22,l*r+p,797.743194224,False,False
22,l*p+r,114.686482815,False,False
22,l*r*p,61.5341145158,True,False
23,l,-683.509214552,False,False
23,p,-693.742721425,False,False
23,r,683.786612619,False,False
23,l+r,685.748208423,False,False
23,l+p,-395.071588578,False,False
23,p+r,683.786602487,False,False
