cid,kernel,lml,white_added,second_exception
1,l,-569.038791301,False,False
1,p,-320.726307413,False,False
1,r,872.098548319,False,False
1,l+r,870.764031132,False,False
1,l+p,-337.056503829,False,False
1,p+r,-567.27806396,False,False
1,l*r,-567.312443214,False,False
1,l*p,-75.3959780482,False,False
1,p*r,970.990480231,False,False
1,l+r+p,-325.201438663,False,False
1,l+r*p,74.2138131509,True,False
1,l*r+p,-262.147335859,False,False
1,l*p+r,-75.4879396741,False,False
1,l*r*p,-567.312443954,False,False
2,l,-734.398594153,False,False
2,p,-741.129021118,False,False
2,r,773.950815952,False,False
2,l+r,775.357386763,False,False
2,l+p,-575.390692942,False,False
2,p+r,773.949003283,False,False
2,l*r,-741.129006831,False,False
2,l*p,-88.439866207,True,False
2,p*r,862.788624761,False,False
2,l+r+p,-564.820762093,False,False
2,l+r*p,792.209774448,False,False
2,l*r+p,-741.12902616,False,False
2,l*p+r,-625.209896244,False,False
2,l*r*p,-741.129007512,False,False
3,l,-1946.20227217,False,False
3,p,-1946.28432323,True,False
3,r,5.91070041271,False,False
3,l+r,7.4114947386,False,False
3,l+p,-1708.72205437,False,False
3,p+r,5.91069666226,False,False
3,l*r,-360.6311733,True,False
3,l*p,-1946.28459569,False,False
3,p*r,-679.063118528,False,False
3,l+r+p,-1533.38418465,False,False
3,l+r*p,-491.509823514,False,False
3,l*r+p,17.9843244206,False,False
3,l*p+r,-3510777.66305,True,True
3,l*r*p,-2343.21200742,True,True
4,l,-820.19689433,False,False
4,p,-819.854819695,False,False
4,r,610.584861751,False,False
4,l+r,-13.8373143942,True,False
4,l+p,-820.196882529,False,False
4,p+r,610.585014916,False,False
4,l*r,-819.85480795,False,False
4,l*p,-738.877379286,False,False
4,p*r,-8.95105116741,True,False
4,l+r+p,-723.782323655,False,False
4,l+r*p,-9.06440062803,True,False
4,l*r+p,-801.087293551,False,False
4,l*p+r,-705.934706587,False,False
4,l*r*p,-819.854808754,False,False
5,l,-537.952413878,False,False
5,p,-563.873846038,False,False
5,r,1340.49129925,False,False
5,l+r,1315.33749348,False,False
5,l+p,108.291408947,False,False
5,p+r,1289.8653729,False,False
5,l*r,-563.873784114,False,False
5,l*p,103.571877407,True,False
5,p*r,1387.97775841,False,False
5,l+r+p,113.826648254,False,False
5,l+r*p,1383.28509413,False,False
5,l*r+p,266.046319747,False,False
5,l*p+r,317.716212078,False,False
5,l*r*p,-563.873798666,False,False
6,l,-1536.46594727,False,False
6,p,-1566.8760572,False,False
6,r,320.517308504,False,False
6,l+r,254.325051276,False,False
6,l+p,-1445.88752514,False,False
6,p+r,-110.300020135,False,False
6,l*r,-196.172654961,True,False
6,l*p,-1437.20518006,True,False
6,p*r,334.975347927,False,False
6,l+r+p,145.968955486,False,False
6,l+r*p,333.623055235,False,False
6,l*r+p,-1099.24368845,True,False
6,l*p+r,-1434.15179821,True,False
6,l*r*p,148.515978313,False,False
7,l,-470.573636988,False,False
7,p,-505.387618887,False,False
7,r,1549.33836384,False,False
7,l+r,1552.33499496,False,False
7,l+p,1550.59594393,False,False
7,p+r,1496.82821707,False,False
7,l*r,-505.387540415,False,False
7,l*p,60.7667237009,True,False
7,p*r,146.152522821,True,False
7,l+r+p,1455.52725256,False,False
7,l+r*p,1552.53669077,False,False
7,l*r+p,-500.541580515,False,False
7,l*p+r,70.2315374858,True,False
7,l*r*p,-505.387553728,False,False
8,l,-692.094985584,False,False
8,p,1267.06280221,False,False
8,r,1270.75478118,False,False
8,l+r,129.777391301,True,False
8,l+p,768.757843939,False,False
8,p+r,1189.81922841,False,False
8,l*r,-690.723604357,False,False
8,l*p,-690.723614209,False,False
8,p*r,132.454128557,True,False
8,l+r+p,772.750932818,False,False
8,l+r*p,1130.67343329,False,False
8,l*r+p,1100.89658695,False,False
8,l*p+r,24.7826835429,True,False
8,l*r*p,-690.723604095,False,False
9,l,-1927.42507919,False,False
9,p,-1927.42381714,False,False
9,r,-16.5367896755,False,False
9,l+r,-97.0336025517,True,False
9,l+p,-1927.42787394,False,False
9,p+r,-1927.42333245,False,False
9,l*r,-3821.74243638,True,True
9,l*p,-1927.42430818,True,False
9,p*r,-97.0336199839,True,False
9,l+r+p,-1541.51622381,False,False
9,l+r*p,-743.131408126,False,False
9,l*r+p,-3812.68397831,True,True
9,l*p+r,-16.5379726037,False,False
9,l*r*p,-2530.349358,False,False
10,l,-469.808115812,False,False
10,p,-504.621390007,False,False
10,r,1538.68123254,False,False
10,l+r,1544.10240398,False,False
10,l+p,1542.40100789,False,False
10,p+r,1492.54398899,False,False
10,l*r,-504.621311342,False,False
10,l*p,61.0133636919,True,False
10,p*r,146.977500638,True,False
10,l+r+p,150.662451647,True,False
10,l+r*p,148.781714026,True,False
10,l*r+p,1501.2630976,False,False
10,l*p+r,70.3696927382,True,False
10,l*r*p,-504.621324817,False,False
11,l,-844.351713019,False,False
11,p,255.991110505,False,False
11,r,1179.24358104,False,False
11,l+r,148.406595281,True,False
11,l+p,148.406755306,True,False
11,p+r,1178.04382278,False,False
11,l*r,-5.21484340556,True,False
11,l*p,-690.383693911,False,False
11,p*r,281.766174076,False,False
11,l+r+p,148.404014347,True,False
11,l+r*p,105.281213375,True,False
11,l*r+p,96.6189849611,True,False
11,l*p+r,-844.19242366,True,False
11,l*r*p,-879.188002605,False,False
12,l,-1765.91513599,False,False
12,p,-1782.13708554,False,False
12,r,-285.148538469,False,False
12,l+r,-279.145068008,False,False
12,l+p,-1703.4891957,False,False
12,p+r,-285.14853726,False,False
12,l*r,-503.316323057,True,False
12,l*p,-1782.13708188,False,False
12,p*r,-144.318682235,False,False
12,l+r+p,-1591.34444995,True,False
12,l+r*p,-581.123452931,False,False
12,l*r+p,-1121.7480542,False,False
12,l*p+r,-1786.56657188,False,False
12,l*r*p,-343.152464352,False,False
13,l,-816.447653497,False,False
13,p,-806.738988695,False,False
13,r,539.831287245,False,False
13,l+r,2.95124084322,True,False
13,l+p,-897.693214207,False,False
13,p+r,539.855628126,False,False
13,l*r,-56.6860806641,True,False
13,l*p,-538.706136688,False,False
13,p*r,624.303460443,False,False
13,l+r+p,2.9512143674,True,False
13,l+r*p,10.1995689643,True,False
13,l*r+p,-553.159393102,True,False
13,l*p+r,-654.2836358,False,False
13,l*r*p,-47.6388409586,True,False
14,l,-875.357335717,False,False
14,p,-874.499675969,False,False
14,r,367.986347732,False,False
14,l+r,-61.2632940763,True,False
14,l+p,-875.357335779,False,False
14,p+r,369.952065683,False,False
14,l*r,-121.820884559,True,False
14,l*p,-747.271900736,False,False
14,p*r,468.229029306,False,False
14,l+r+p,367.589895325,False,False
14,l+r*p,-48.0843427231,True,False
14,l*r+p,-874.499675906,False,False
14,l*p+r,-747.26798648,False,False
14,l*r*p,-874.499673813,False,False
15,l,-2152.29672853,False,False
15,p,-2185.19314735,False,False
15,r,-505.990689343,False,False
15,l+r,-409.711916008,False,False
15,l+p,-1807.66261163,False,False
15,p+r,-409.713381261,False,False
15,l*r,-636.960537533,False,False
15,l*p,-2179.30871603,False,False
15,p*r,-689.911026482,False,False
15,l+r+p,-317.069822958,False,False
15,l+r*p,-733.067694272,False,False
15,l*r+p,-461.820821992,True,False
15,l*p+r,-1776.50587332,True,False
15,l*r*p,-4136.40089136,True,True
16,l,-886.142681583,False,False
16,p,-916.103581043,False,False
16,r,975.876408327,False,False
16,l+r,62.1393961423,True,False
16,l+p,-330.403330788,False,False
16,p+r,60.667074156,True,False
16,l*r,-916.103578887,False,False
16,l*p,-790.133479749,False,False
16,p*r,1000.91662193,False,False
16,l+r+p,-330.149867051,False,False
16,l+r*p,42.9697263191,True,False
16,l*r+p,-837.127200396,False,False
16,l*p+r,-2567.84321194,True,True
16,l*r*p,-916.103581043,False,False
17,l,-643.459862904,False,False
17,p,-676.248333975,True,False
17,r,1249.96937113,False,False
17,l+r,1253.21456544,False,False
17,l+p,383.285667427,False,False
17,p+r,1249.17258798,False,False
17,l*r,-676.248309079,False,False
17,l*p,-643.459883742,False,False
17,p*r,1278.65144176,False,False
17,l+r+p,-196.154076369,False,False
17,l+r*p,1281.68743204,False,False
17,l*r+p,-676.248329404,False,False
17,l*p+r,-433.704128961,True,False
17,l*r*p,-676.248313505,False,False
18,l,-1565.35412478,False,False
18,p,-1586.37708558,False,False
18,r,251.832599436,False,False
18,l+r,251.861318098,False,False
18,l+p,-1470.15512887,False,False
18,p+r,-72.0864123629,True,False
18,l*r,75.3218461392,False,False
18,l*p,-1207.92832912,False,False
18,p*r,336.734442371,False,False
18,l+r+p,-1453.84252882,False,False
18,l+r*p,340.845034425,False,False
18,l*r+p,-1000.67757061,False,False
18,l*p+r,-282294.457211,True,True
18,l*r*p,-191.512604986,True,False
19,l,-952.286570669,False,False
19,p,-952.036136411,False,False
19,r,521.27789276,False,False
19,l+r,521.197198609,False,False
19,l+p,-958.440185882,False,False
19,p+r,525.455013395,False,False
19,l*r,-952.036115846,False,False
19,l*p,-856.128915962,False,False
19,p*r,586.861697204,False,False
19,l+r+p,521.194605212,False,False
19,l+r*p,615.947267005,False,False
19,l*r+p,-952.036135069,False,False
19,l*p+r,-808.292267605,False,False
19,l*r*p,-952.036137357,False,False
20,l,-684.09226292,False,False
20,p,-682.461647537,False,False
20,r,485.514590292,False,False
20,l+r,484.571306356,False,False
20,l+p,-684.092246799,False,False
20,p+r,485.514586102,False,False
20,l*r,-682.461546435,False,False
20,l*p,-584.279652665,False,False
20,p*r,485.525000828,False,False
20,l+r+p,484.571568415,False,False
20,l+r*p,521.073162343,False,False
20,l*r+p,-658.15858152,False,False
20,l*p+r,-679.74290047,False,False
20,l*r*p,-682.461549579,False,False
21,l,-2188.88395519,False,False
21,p,-2189.76179914,False,False
21,r,-1176.54372946,False,False
21,l+r,-1176.54344346,True,False
21,l+p,-2226.7801862,True,False
21,p+r,-1176.54372962,False,False
21,l*r,-1277.35584415,False,False
21,l*p,-2189.77163352,False,False
21,p*r,-1245.98980919,False,False
21,l+r+p,-1148.9859958,False,False
21,l+r*p,-1239.88915504,False,False
21,l*r+p,-1285.70824185,False,False
21,l*p+r,-1176.54372734,True,False
21,l*r*p,-1254.23410354,False,False
22,l,-683.921160132,False,False
22,p,-717.613279478,False,False
22,r,1269.03674232,False,False
22,l+r,1272.84985071,False,False
22,l+p,75.3622803643,True,False
22,p+r,1269.03826985,False,False
22,l*r,-717.613262041,False,False
22,l*p,-683.949020398,False,False
22,p*r,-1030.79070201,True,True
22,l+r+p,138.505400004,False,False
22,l+r*p,1325.93176216,False,False
22,l*r+p,-717.613278143,False,False
22,l*p+r,-419.07460847,True,False
22,l*r*p,-717.613263128,False,False
23,l,-778.280790968,False,False
23,p,-800.219628072,False,False
23,r,349.135370564,False,False
23,l+r,0.0649990431656,True,False
23,l+p,-647.901230565,False,False
23,p+r,349.134374671,False,False
23,l*r,-800.219027543,False,False
23,l*p,-707.851902291,False,False
23,p*r,480.154324175,False,False
23,l+r+p,460.586909398,False,False
23,l+r*p,14.7547088602,True,False
23,l*r+p,-600.428481299,False,False
23,l*p+r,-0.83282113148,True,False
23,l*r*p,-800.219618162,False,False
24,l,-1417.66837372,False,False
24,p,-1421.52885474,False,False
24,r,713.697457976,False,False
24,l+r,713.718706033,False,False
24,l+p,-786.445478189,False,False
24,p+r,31.4035174893,True,False
24,l*r,-148.061546383,True,False
24,l*p,-1187.10947133,True,False
24,p*r,769.16155337,False,False
24,l+r+p,-786.439663966,False,False
24,l+r*p,52.3954752,True,False
24,l*r+p,36.3072436673,True,False
24,l*p+r,714.958688269,False,False
24,l*r*p,-1421.52885486,False,False
25,l,-1048.27760311,False,False
25,p,-1051.61522485,False,False
25,r,199.846292411,False,False
25,l+r,199.89431534,False,False
25,l+p,-1034.48676974,False,False
25,p+r,199.84629171,False,False
25,l*r,-2034.13287052,True,True
25,l*p,-14051.5673133,True,True
25,p*r,270.992968581,False,False
25,l+r+p,-935.559586548,True,False
25,l+r*p,270.930747357,False,False
25,l*r+p,-1035.47820129,False,False
25,l*p+r,-940.367684963,False,False
25,l*r*p,-2034.13287052,True,True
26,l,-961.493943118,False,False
26,p,-665.120864974,False,False
26,r,245.908349434,False,False
26,l+r,-93.2392992569,True,False
26,l+p,-961.493951978,False,False
26,p+r,-665.120833798,False,False
26,l*r,-189.501542337,True,False
26,l*p,-960.908404357,False,False
26,p*r,358.373908025,False,False
