,kernel,lml
1,p,168.04838248672056
10,l+r*p,174.24778860030202
100,p*r,218.6973231316841
101,p*r,204.45021732700485
102,l+r,1.273845832988524
103,p*r,174.84184873078766
104,p*r,137.5288650849462
105,l+r+p,-319.38369417231405
106,l+r*p,170.68397443401443
107,l+r*p,165.9740278460229
108,l+r,-37.19348044866402
109,l+r*p,178.65094840487998
11,p*r,165.83175717408275
110,l+r+p,123.61332821220894
111,p+r,-101.16323571629368
112,p*r,170.5147163834914
113,p*r,176.65288927756995
114,p+r,-7.437549622428939
115,l+r*p,174.57870630701967
116,l+r*p,137.82289994439722
117,p+r,-152.33715558191957
118,l+r+p,158.34713658362446
119,l+r*p,174.2553623911407
12,p+r,-15.887890569110386
120,l+r,-67.10168145813147
121,p*r,171.50463079075044
122,l+r*p,124.51702994112068
123,p+r,-98.16573316951741
124,l+r*p,110.60846479810117
125,l+r*p,167.90422282594184
126,l+r+p,-28.23148437622642
127,r,133.98779938705707
128,l+r*p,142.24485337768434
129,l+r+p,-194.00802564042596
13,l+r*p,185.40406488865239
130,l+r*p,161.51664441705384
131,l+r*p,167.66767411427833
132,p+r,0.858497835862579
133,p+r,247.80920902511508
134,l+r+p,109.14763093304079
135,l*r*p,-162.22731035850586
136,p*r,207.67762410925417
137,l+r*p,182.1494341950812
138,l+p,14.95436413347877
139,p*r,169.83524068553118
14,l+r*p,158.80104566895204
140,l*r+p,136.01843058048877
141,l+r+p,-131.362185538089
142,p*r,171.8839158480445
143,l+r+p,170.61570402434705
144,l+r+p,-16.483668793477733
145,l+r*p,230.8979169732391
146,l+r*p,128.11465273842595
147,l+r,-78.78287905369942
148,l+r,187.3480924548865
149,l+r*p,202.0963039118935
15,p+r,-66.59193588678521
150,p+r,22.337749349077228
151,l+r+p,200.1593334127585
152,p*r,151.04977868896987
153,l+r*p,-178.26008267363474
154,l+r*p,203.3242610541386
155,l+r+p,218.3645452966651
156,l+r+p,34.23606151687222
157,p*r,156.92382830608582
158,p*r,150.06254011539775
159,p+r,-150.25907126067057
16,l+r*p,181.59552155856363
160,l+r*p,206.6579739324006
161,p*r,203.1843096899256
162,p+r,44.62897626120662
163,l+r*p,176.87952888599864
164,p*r,119.76295511400276
165,l+r+p,-127.67845212808264
166,p+r,173.1627239496497
167,p*r,175.14254108778704
168,l+r+p,1.2852288384811885
169,p*r,182.844071376014
17,l+r+p,229.46982513066496
170,l+r+p,138.0786026623603
171,r,-140.76089720681827
172,p+r,184.44951392790753
173,l+r*p,175.81646963055286
174,p+r,12.567325607301939
175,p*r,166.69809867741697
176,l+r,114.20402659020996
177,l+r+p,-109.42641051910644
178,p+r,178.17357539247718
179,l+r*p,170.14738933313305
18,l+r+p,56.1862715155224
180,l+p,-25.131163838211243
181,l+r+p,173.85771464784276
182,l+r*p,194.0867309416942
183,l+r,-89.4174607379386
184,p,189.58929197147756
185,p*r,220.56565716302813
186,p+r,18.26894383500412
187,l+r,146.68782112238702
188,l+r*p,114.81746172658215
189,p+r,-139.66718407904784
19,l+r*p,174.21305615228943
190,l+r*p,170.18030755669224
191,l+r*p,176.03025375623403
192,l+r+p,-2.553932202488866
193,l+r,200.29689183099595
194,l+r+p,208.06538635140163
195,l+p,-172.42132812149168
196,p*r,159.34461543633884
197,l+r*p,173.7090604954548
198,l+r+p,21.391584340196356
199,p*r,178.0890462799969
2,l+r+p,116.50607539865271
20,p*r,128.36399356827053
200,p+r,145.74317949451762
201,l+r+p,-150.10565778520055
202,l*r+p,189.10544735886668
203,l+r,145.56218090478856
204,l+r+p,-1.9050788815249824
205,p+r,177.01661540164184
206,p*r,128.3104751084972
207,l+r,-133.77727549591197
208,l+r*p,171.5881514115237
209,l+r+p,188.01997908358055
21,l+r,-95.98038037735256
210,p+r,10.875463322718456
211,p+r,209.04226792749157
212,l+r*p,169.070846779543
213,l+r+p,-51.21689358467803
214,l+r*p,203.3833204486217
215,l+r+p,226.91903806799863
216,l+r,3.008797118066642
217,l+r*p,183.0819205230158
218,p*r,135.1078314443308
219,l+r+p,-115.53540187027252
22,p*r,205.2915940063836
220,p*r,115.42065360147991
221,l+r+p,174.60747559978628
222,p+r,25.37543858913603
223,l+r*p,169.98791102801897
224,l+r*p,137.39343886005224
225,l+r+p,-164.5438655914105
226,p*r,168.5284933968959
227,l+r*p,180.59444666585824
228,p+r,-6.908573120575326
229,l+r*p,178.73503528615902
23,l+r*p,219.22747594654402
230,l+r*p,115.69440176821227
231,l+r+p,-132.8737126531845
232,l+r*p,177.38984978632269
233,l+r*p,178.95521075358914
